question,optionA,optionB,optionC,optionD,answer
What is a definition of an osmole? The amount of substance that:,must be dissolved to produce 6 × 10 23 solute particles.,must be dissolved to produce an osmotic pressure of 1.0 mmHg.,must be dissolved to produce an isotonic solution.,contains 6 × 1023 particles.,A
Choose the solution below that has the lowest concentration of dissolved particles.,0.9 % NaCl,isotonic powerade,5 % glucose,hypotonic saline,D
What can be correctly said of an isotonic intravenous solution? An isotonic solution:,causes water to move out of red blood cells.,causes no net movement of water into or out of red blood cells.,has the same solutes in the same solution concentration as blood plasma 4 Chemistry for Physiology 71,causes water to move into red blood cells.,B
What would be the concentration of a solution that causes red blood cells placed in it to swell?,hypotonic,isotonic,hypertonic,iso-osmotic,A
An isotonic solution is one which,has an osmotic pressure that is different to red blood cells,has an osmolarity less than that of red blood cells,causes no net movement of water between the solution and red blood cells,has an osmolarity greater than that of red blood cells,C
A hypotonic solution may be characterised by which of the following?,a solution whose osmolarity is greater than that of blood.,one that causes red blood cells to crenate.,a solution within the range 280–300 mosmol/L,one that causes a net water movement into red blood cells.,D
Which of the following statements could be applied to a hypertonic solution?,it causes red blood cells to shrink and crenate.,it causes red blood cells to swell and perhaps lyse.,it is a solution with an osmolarity less than that of blood.,it causes movement of water into red blood cells.,A
To what does the term “mole” refer?,the smallest particle of a molecular compound.,the amount of solute that must be dissolved in water to make an isotonic solution.,an amount of substance that contains 6.02 × 10 23 particles.,a group of 2 or more atoms bonded together.,C
What may be said of isotonic solutions? They have:,had added the same number of moles of solid substance per volume of solution.,the same number of grams of solute per volume of solution.,the same percent concentration.,the same number of dissolved particles per volume of solution.,D
"Fructose is a sugar with a molecular formula C 6H12O6. Given that the atomic weights are: C = 12, H = 1 and O = 16, how many moles of fructose are there in 36 grams?",0.01 moles,"0.10 moles4.4 Tonicity, Moles and Osmoles 74",0.20 moles,0.50 moles,C
"Ribose is a sugar with molecular formula C 5H10O5. Given that the atomic weights are: C = 12, H = 1 and O = 16, how many moles of ribose are there in 3 grams?",0.01 moles,0.02 moles,0.05 moles,0.10 moles,B
"A solution is prepared containing 2 % sodium chloride (Na+Cl−). Which of the following best describes the osmolarity of this solution? (Note : Na = 23, Cl = 35.5)",340 mosmol/L,680 mosmol/L,340 osmol/L,680 osmol/L,B
"Given that one mole of glucose has a mass of 180 g, how many millimole of glucose does 40 g of glucose contain?",0.222,180,222,278,C
Which of the following statements about an “osmole” is correct? An osmole is the:,same as a mole for ionic substances.,formula weight of a substance expressed in grams.,number of moles multiplied by the number of molecules in the chemical formula.,amount of substance that must be dissolved in order to produce 1.6 × 1023 dissolved particles.,D
"Glucose is a sugar with a molecular formula C 6H12O6. Given that the atomic weights are: C = 12, H = 1 and O = 16, what is the mass of 1 mole of glucose?",1.8 g,18 g,180 g,1800 g,C
"Lactose is a sugar with a molecular formula C 12H22O11. Given that the atomic weights are: C = 12, H = 1 and O = 16, what is the weight of 1 mole of lactose?",3.42 g,34.2 g,342 g,3420 g,C
Red blood cells are added to a hypotonic solution of glucose. Which of the fol-lowing best describes what you would observe?,The cells would most likely sink to the bottom unaffected,"The cells would shrink due to water loss.4.4 Tonicity, Moles and Osmoles 76",The cells would coagulate.,The cells would swell and burst due to intake of water,D
A solution that is said to be isotonic to blood has the same:,percent concentration as blood.,number of moles of dissolved particles as blood.,number of osmoles per litre of dissolved particles as blood.,number of dissolved particles as blood.,C
"If the following amounts of the given substances were dissolved in water, which would result in four osmoles of dissolved particles?",2 moles of C 6H12O6,2 moles of Na+Cl−,2 moles of C 12H22O11,2 moles of (Na+)2SO 42−,B
What is the difference between “molarity” and “osmolarity”?,molarity applies only to covalent compounds while osmolarity applies only to ionic compounds.,osmolarity is molarity multiplied by two.,"the molarity and osmolarity of a solution is the same for dissolved ionic compounds, but are different for dissolved covalent compounds.",osmolarity refers to the concentration of dissolved particles in a solution which may not be the same as the number of moles of substance that was dissolved per litre of solution.,D
Human blood has an osmolarity that lies within the range 280–300 mosmol/L. Which of the following statements is correct?,an isotonic solution has osmolarity that is either less than 280 or greater than 300 mosmol/L,a hypotonic solution has osmolarity between 280 and 300 mosmol/L 4 Chemistry for Physiology 77,a hypertonic solution has osmolarity between 280 and 300 mosmol/L,an isotonic solution has osmolarity between 280 and 300 mosmol/L,D
What distinguishes an osmole from a mole?,"In a sample of substance, the number of osmoles is twice the number of moles","Both mole and osmole may be used in reference to ionic compounds, while covalent compounds are described by mole alone.",the mass of a mole is the sum of the relative atomic masses (RAM) of the atoms in the formula stated as grams. An osmole is half of this mass.,"an osmole applies only to covalent molecular substances, whereas a mole is validly applied to both covalent and ionic substances.",B
"Given that a mole is 6 × 10 23 particles, what is a millimole?",6 × 1020 particles,one thousand moles,6 × 1026 particles,0.0001 moles,A
A solution that is isotonic to blood plasma is one which,contains 0.5 % glucose,must contain the same solutes as blood and in the same concentration as in blood,has an osmolarity between 280 and 300 mosmol/L,causes no net movement of water into or out of cells,D
"Which of the following quantities of substance would, when dissolved in one litre of water, produce a solution with the highest osmolarity?",1 mole of glucose molecules (C 6H12O6),1 mole of Na+Cl− (sodium chloride),1 mole of haemoglobin molecules,1 osmole of K+ (potassium ions),B
Which of the following statements is CORRECT?,An acid is an electron donor and a base is an electron acceptor.,An acidic solution has a pH less than 7 and a basic solution has a pH greater than 7.,Neutralization of a strong acid by a strong base gives only water.,The pH of saliva is normally in the range of 8.5–9.5,B
"Which statement about buffers below is most correct?4.5 Acids, Bases and Buffers 80",A buffer is any acid and base which together control the concentration of pH in the blood.,A buffer is the solution which allows CO 2 to be lost from the lungs in order to control the pH of the lungs.,A buffer is a weak base and its acid salt or a weak acid and its basic salt. The ratio of the two components helps maintain blood pH levels.,A buffer is a mixture of two acids which together help to maintain blood pH,C
Which of the following statements is FALSE?,An acid is a proton donor and a base is a proton acceptor.,An acidic solution has a pH greater than 7 and a basic solution has a pH less than 7.,Neutralization of an acid by a base gives a solution of salt in water.,The pH of the stomach is normally in the range of 1.6–1.8,B
Neutralization of an acid by a base can be represented by the following equation: HO OH HO32 2+−+→ This means that the pH of the solution after the neutralization is approximately:,6,7,8,9,B
A buffer solution consisting of citric acid and citrate in a ratio of 5:1 maintains the pH at 7.4. What would be the ratio of the two components if the pH were to become 6.4,6:1,10:1,50:1,1:10,C
Which of the following statements is closest to a correct definition of an acid?,a substance that ionises in a solution to produce hydronium and hydroxide ions.,a substance that reacts with water to produce hydroxide ions.,a substance that dissociates in water to produce a solution with pH greater than 7.0.,a substance that reacts partly with water to produce a low concentration of hydronium ions.,D
The pH of a buffered solution depends on:,the ratio of the components of the buffer solution.,the amount of acid added to the buffer solution.,the amount of base added to the buffer solution.,the amount of acid and of base added to the solution.,A
The long term acid-base balance in the body is controlled by,the phosphate and carbonic acid/bicarbonate buffers in the blood,the kidneys and the lungs,"the phosphate, carbonic acid/bicarbonate, and protein buffers in the blood and cells.",the kidneys,B
You have a bottle of a strong acid and you add 100 ml of this to one litre of water. What would the pH of this final solution most likely be?,pH = 1,pH = 5,pH = 7,pH = 11,A
A buffer solution consisting of acetic acid and acetate ions (base) in a ratio of acid to base of 1:20 maintains the pH at 7.4. What is the ratio of the two com-ponents if the pH were to become 8.4 after addition of more of the basic component.,1:200,1:21,1:30,1:40,A
"Acidity is stated as a pH value. If the pH of urine sample “A” is 6 and the pH of urine sample “B” is 7, then which of the following is true?",the most acidic sample is sample,B. sample A has 10 times the hydroxide ion concentration of sample B.,the B sample has 10 times the hydrogen ion concentration of sample A.,sample A has 10 times the hydrogen ion concentration of sample B.,D
"One form of acid base imbalance in the body is called acidosis. In this situation, which of the following is true?",the blood is less alkaline than it should be.,the blood’s pH is less than 7.0,the blood is less acidic than it should be.,the concentration of hydrogen ions in the blood is less than it should be.,A
One of the buffer systems in the blood is the carbonic acid/bicarbonate buffer. It helps to maintain the body’s acid-base balance by destroying any excess:,hydrogen ions in the blood.,acid or base in the blood.,hydroxide ions formed in the blood.,bicarbonate ions formed in the blood.,B
The major buffer system in the extracellular compartment is the:,the protein buffer,carbonic acid/bicarbonate buffer,ammonia buffer,phosphate buffer,B
What happens when an acid is added to a buffered solution?,the solution becomes acidic,the pH of the solution decreases significantly,the pH of the solution decreases very slightly,the pH of the solution increases slightly,C
Which of the statements below is correct?,"The dihydrogen phosphate component of the phosphate buffer releases hydrogen ions into the lungs for excretion, and in the process, reverts to monohydrogen phosphate.","Haemoglobin as it passes through the lungs, releases hydronium ions, which are breathed out.",Carbon dioxide that is dissolved in blood diffuses into the alveoli and is breathed out.,Hydronium ions react with bicarbonate ions to form carbonic acid which moves into the lungs for exhalation.,C
"When aspirin (an acid) is in the stomach (an acidic environment), what may be said of the aspirin molecules?",Most molecules will be un-ionised and therefore able to be pass through the stomach mucosa.,Most molecules will be ionised and therefore able to be pass through the stomach mucosa.,Most molecules will be un-ionised and therefore NOT able to be pass through the stomach mucosa.,Aspirin will be in the form of its salt and therefore able to be pass through the stomach mucosa.,A
Which statement below best describes an acid solution? The pH is less than:,5,6,7,8,C
"If a patient has blood pH that is 7.3 (which is below the healthy range of blood pH values), which of the following is a correct statement?",the patient has alkalosis,the patient has excessive alkali,the patient has acidosis,the patient has insufficient acid,C
Which of the following mechanisms results in acid being excreted from the body?,breathing out H 2PO 4- (dihydrogen-phosphate) from the lungs,excreting HCO 3- in the urine,excreting NH 3 (ammonia) in the urine,breathing out CO 2 from the lungs,D
Which of the following would happen when hydrochloric acid is added to water?,the acid would react with water to from a low concentration of hydronium ions.,the acid would react with water to from a high concentration of hydroxide ions.,the acid would react with water to from a high concentration of hydronium ions.,the acid would react with water to from a high concentration of bicarbonate ions.,C
"If the pH of the stomach contents changed from 3 to 2, which of the following is true?","at pH 2, the concentration of hydronium ions is two thirds of the concentra- tion at pH 3.","at pH 3, the concentration of hydronium ions is 50 % more than the concen- tration at pH 2.","at pH 2, the concentration of hydronium ions is ten times the concentration at pH 3.","at pH 3, the concentration of hydronium ions is ten times the concentration at pH",C
The carbonic acid and bicarbonate buffer system is one if the buffers that help to maintain the blood’s pH within the healthy range by doing which of the following?,carbonic acid destroys excess base in the blood while bicarbonate destroys excess acid.,carbonic acid destroys excess acid in the blood while bicarbonate destroys excess base.,carbonic acid and bicarbonate destroy excess acid.,carbonic acid and bicarbonate destroy excess base.,A
"In a solution like blood that is buffered to minimise changes in pH, what deter - mines the pH of the solution?",the concentration of the hydronium ions,the logarithm of the concentration of the hydronium ions,the ratio of the concentration of hydronium ions to hydroxide ions.,the ratio of the concentrations of the two components of the buffer.,D
"When in solution, an acidic drug also exists as its salt. What feature does the salt of a drug have that may not be shared by the acid form of the drug?",The salt of the drug does not carry an electrical charge but the acid form does.,The salt of the drug may be more soluble in lipid than the acid form of the drug.,The acid form of the drug is ionised whereas the salt is not.,The salt of the drug may be more soluble in water than the acid form of the drug.,D
Which one of the following best defines an acid?,an aqueous solution with a pH of less than 7.0,a substance that reacts with water to produce hydrogen ions,a substance that reacts with water to produce hydroxide ions,a substance that reacts with water to produce hydronium ions,D
Which one of the following acids is not normally found in the body?,hydrochloric acid,carbonic acid,nucleic acid,acetylsalicylic acid,D
Which statement about the phosphate buffer is correct?,H 2PO 42− destroys acid and HPO 4− destroys base,H2PO 42− destroys base and HPO 4− destroys acid,H2PO 42− is basic and HPO 4− is acidic,the ratio of H 2PO 42− : HPO 4− decreases following the addition of acid.,B
"Three of the solutions below have the SAME level of acidity (or alkalinity), the other is different. Which is the different one?",blood,a neutral solution,a solution with pH = 7,a solution with a hydrogen ion concentration of 10 -7 mol/L,A
Which of the following statements is a definition of a buffer solution?,one where the number of osmoles of solute equals the number of moles.,one where the concentration of hydronium ions equals the concentration of hydroxide ions.,a solution that resists change to its pH.,a solution that reacts partly with water to produce a relatively low concen-tration of hydronium ions.,C
Which of the following solutions is the most acidic?,blood plasma,gastric juice,a solution with pH = 7,a solution with hydronium ions at a concentration of 10 -5 moles/L,B
Pure water contains small but equal amounts of hydronium (H 3O+) ions and hydroxide (OH−) ions. This means that water is:,acidic,basic,acidic and basic,neither acidic nor basic,D
"What do we call a substance that when added to water, reacts with water to produce hydronium ions?",an ionic compound,a base,an electrolyte,an acid,D
How does the blood’s phosphate buffer behave when an hydronium ion is encountered?,HPO 42− destroys the hydronium ion and becomes H 2PO 4- – and blood pH decreases very slightly,H2PO 4- destroys the hydronium ion and becomes HPO 42− and blood pH decreases very slightly,HPO 42− destroys the hydronium ion and becomes H 2PO 4- and blood pH increases very slightly,H2PO 4- destroys the hydronium ion and becomes HPO 42− and blood pH increases very slightly,A
One of the statements below about buffers is correct. Which one?,a buffer consists of an acid and a base.,a buffer will react with water to produce hydronium ions.,a solution that is neither acidic nor basic is called a buffer.,the components of a buffer are conjugate pairs.,D
An acid may be defined as a substance that:,reacts completely with water producing a high concentration of hydronium ions,reacts with water to produce hydroxide ions,produces a pH of more than 7 when in solution,reacts with water to produce hydronium ions,D
One of the statements below about buffers is WRONG. Which one?,a buffer consists of a weak acid and its slightly basic salt.,a buffer will react with water to produce hydronium ions.,a solution that resists change to its pH is called a buffer.,the components of a buffer are conjugate pairs.,B
An acid may be defined by which one of the following statements?,a substance with equal concentrations of hydronium and hydroxide ions.,a substance that reacts partly with water to produce hydronium ions,a substance that maintains the pH of the solution it is in.,a substance that reacts with water producing hydroxide ions.,B
Which of the following defines an acid?,"when in solution, resists change to pH",reacts with water to produce hydronium ions,reacts with a buffer to produce water,has a pH of more than,B
Which of the following is NOT an acid?,a solution having a pH of 3.,a substance which reacts with water to produce hydronium ions.,carbonic acid.,a solution that resists change to its pH,D
What effect would a base have when added to the following solutions?,Tap water: – it would react to produce hydronium ions.,Tap water: – it would react to produce hydroxide ions.,Buffered water: – it would raise the pH of the solution.,Un-buffered water: – it would lower the pH of the solution.,B
What effect would an acid have when added to the following solutions?,Tap water: – it would react to produce hydronium ions.,Tap water: – it would react to produce hydroxide ions.,Buffered water: – it would lower the pH of the solution. 4 Chemistry for Physiology 91,Un-buffered water: it would raise the pH of the solution.,A
A fresh sample of blood (a buffered solution) is withdrawn from the body and its pH measured at 7.4. A small quantity of strong acid (as an isotonic solution) is added to it. Which of the following values is most likely to be the pH of the resulting blood solution?,3,7.3,7.4,7.5,C
Blood in the body is different to a buffered solution held in a beaker. This is because hydronium (hydrogen) ions can be removed from solution in blood almost immediately by:,filtration in the kidney from where it is eliminated from the body in urine.,combining with hydroxide ions to form water which is eliminated as urine.,combining with bicarbonate to form carbonic acid which disassociates to water and carbon dioxide which is breathed out.,reacting with mono-hydrogen phosphate to form di-hydrogen phosphate.,C
The definition of an acid is a substance that reacts:,completely with water to produce a large concentration of hydronium ions.,with water to produce hydroxide ions.,with a base to produce a neutral salt.,with water to produce hydronium ions.,D
Choose the INCORRECT statement about buffer solutions.,the pH of a buffer does not change on addition of acid or base.,a buffer has two components which may be a weak acid and its salt.,a buffer has two components which may be a weak base and its salt.,pH of a buffer depends only on the ratio of its components.,A
"As the blood becomes more acidic, hydrogen (hydronium) ions combine with bicarbonate ions to form carbonic acid which in turn dissociates into carbon dioxide (to be breathed out by the lungs) and water. Which is the equation describing this reaction?",CO HO HCOH HCO22 23 3 +← ←++−,CO HO HCOH HCO22 23 3 +→ →++−,CO HO HH CO HCO22 32 3 +← +←+−,HH CO CO HO HCO+−+← +←32 22 3,A
"A buffer solution consisting of H 2PO 4− (acid) and HPO 42− (base), in a ratio of 1:4, maintains the pH at 7.4. What is the ratio of these two components if the pH were to become 8.4 after the addition of more of the basic component of the buffer?",1:5,2:4,1:8,1:40,D
Which of the following pH values would you expect to a dilute solution of a weak base to have?,2.4,6.2,8.2,12.4,C
A buffer solution having a pH of 8.5 has a small amount of strong acid added to it. What is its pH value likely to be closest to? 4 Chemistry for Physiology 93,5,8.4,8.6,12.4,B
Which of the following statements about the role of the kidneys or lungs in the maintenance of acid-base balance within the body is FALSE?,The kidneys are able to affect several buffer systems but the lungs affect only one.,The lungs exert their influence on the carbonic acid/bicarbonate buffer system.,Neither the lungs nor the kidneys have much influence over the protein buffer.,The kidneys are able to respond more rapidly than the lungs to changes in acid- base balance.,D
Denaturation of proteins involves disruption of the,primary structure,secondary structure,tertiary structure,covalent bonding,C
Amino acids are the building blocks of all proteins. As more amino acids are added the protein chain tends to fold upon itself in a characteristic way. This characteristic of a protein is called the:,primary structure,secondary structure,tertiary structure,quaternary structure,C
Which of the following is the correct combination for the nucleic acid DNA?,"Phosphate, Ribose, Uracil","Phosphate, Deoxyribose, Uracil","Phosphate, Ribose, Adenine","Phosphate, Deoxyribose, Adenine",D
Which one of the following is NOT a steroid compound?,stearic acid,oestrogen,cholesterol,testosterone,A
Which of the following foods when catabolised in the body produces the high-est yield of energy?,100 gram of fat,100 gram of chocolate,100 gram of carbohydrate,100 gram of protein4.6 Organic Chemistry and Macromolecules 96,A
Fructose is a simple sugar or carbohydrate. What is it an example of? A:,monosaccharide,disaccharide,polysaccharide,oligosaccharide,A
"A lipid such as oleic acid contains a number of double bonds in the carbon chain. Because of this, what term is applied to it?",monounsaturated,diunsaturated,polyunsaturated,saturated,C
Which of the following chemical formulae represents a typical carbohydrate?,Ca 10(PO 4)6(OH) 2,N2C5H12O4,C120H240O120 4 Chemistry for Physiology 97,C57H110O6,C
Which of the following refers to a carbohydrate?,diglycerol,adenosine diphosphate,disaccharide,dipeptide,C
What are the bonds that maintain the secondary and tertiary structure of proteins?,hydrogen bonds,covalent bonds,ionic bonds,peptide bonds,A
Which of the following formulae would be most likely to represent a lipid?,C 2936H4624N786O889S41,C57H110O6,C6H12O6,Ca10(PO 4)6(OH) 2,B
To what type of fatty acids is the term “saturated” applied?,Those with four single bonds around each carbon atom.,Those with at least one double bond between carbon atoms.,Those that are not implicated in coronary heart disease.,Those which are essential in our diet.,A
Which of the following is a polysaccharide?,glucuronidase,glucagon,glucose,glycogen,D
What holds the primary structure of a protein together?,hydrogen bonds,covalent bonds,peptide bonds,ionic bonds,C
What is a “saturated fat”?,one that contains cholesterol,a triglyceride that has three fatty acids,one where the carbon atoms that are connected by single bonds 4 Chemistry for Physiology 99,one that must be included in our diet,C
