question,optionA,optionB,optionC,optionD,answer
Where does the actual gas exchange between inspired air and the blood in the capillaries occur? In the:,bronchi,bronchioles,alveolar ducts and alveoli,respiratory bronchioles.,C
"With regard to the respiratory centre, which of the following is TRUE?",Blood oxygen concentration affects the respiratory centre.,Anaesthetics don’t affect respiration.,Raised intracranial pressure increases ventilation.,Narcotic drugs may depress ventilation,D
"In the control of respiration, which of the following is NOT TRUE?",Peripheral chemoreceptors respond to changes in oxygen and carbon diox- ide concentration in the blood,Chemoreceptors in the central nervous system respond to changes in carbon dioxide concentration in the blood,Respiration responds to smaller changes in the blood concentration of oxy- gen than carbon dioxide,Central chemoreceptors are sensitive to changes in the pH of the cerebro- spinal ﬂ uid,B
Gas exchange takes place in the:,larynx,bronchioles,alveoli,pleura,C
Which of the following is NOT TRUE ?,Raised intracranial pressure may depress respiration,Anaesthetics never affect respiration,Receptors in the airways trigger sneezing,Narcotic drugs may suppress respiration,B
The greatest amount of air which can be moved in and out of the respiratory system is the:,tidal volume,vital capacity,ventilatory volume,pulmonary capacity,B
The volume of air which moves in and out of the lungs during a normal quiet respiratory cycle is called the:,tidal volume,vital capacity,ventilatory volume,pulmonary capacity,A
What is the number of breaths per minute called? The:,respiratory rate,respiratory speed,pulmonary index,respiratory volume,A
A man runs up a ﬂ ight of stairs. His respiratory rate rose from 18 breaths per minute (resting) to 36 bpm (at the top of stairs). The increase was probably a result of:,increased blood pH,increased concentration of CO 2 in the blood,decreased concentration of O 2 in the blood,decreased concentration of CO 2 in the blood,B
What are the membranes that surround each lung called? The,parietal and visceral membranes.,parietal and visceral meninges,pleura,peritoneum,C
"If the partial pressure of oxygen in alveolar air is 100 mmHg and the concentra- tion of dissolved oxygen in capillary blood arriving at the alveoli is 40 mmHg, what will be the concentration of dissolved oxygen in blood leaving the alveoli?",140 mmHg,100 mmHg,70 mmHg,60 mmHg,B
"Consider Henry’s law. If a patient is given air with 30 % oxygen to breathe (that is, at one and a half times normal oxygen partial pressure), by how much would the amount of dissolved oxygen in the blood change?",it would increase by 150 %,it would increase by 50 %,it would increase by 30 %,it would increase by 10 %,B
"According to Boyle’s law, the pressure in a ﬁ xed amount of gas will increase as its volume decreases. Which one of the statements that follow is consistent with Boyle’s law?","when the diaphragm contracts, pressure in the lungs increases.","when the chest recoils during exhalation, the air in the lungs is at a negative pressure. 13.2 Pressure Applied to the Respiratory System 338","when the chest recoils during exhalation, the air in the lungs increases in volume.","when the diaphragm contracts, pressure in the lungs decreases.",D
"Deoxygenated blood entering the alveoli has dissolved oxygen with partial pressure of 40 mmHg, while alveolar air has oxygen present at a partial pres-sure of 90 mmHg. What will be the partial pressure of dissolved oxygen in blood that leaves the lungs?",40 mmHg,65 mmHg,90 mmHg,100 mmHg,C
"A statement of Boyle’s law is ‘the volume of a ﬁ xed amount of gas is inversely proportional to the pressure of the gas, as long as temperature does not change’. This means that",A balloon would expand to a larger volume in a hyperbaric chamber.,The air pressure in the lungs would decrease if the diaphragm is contracted. 13 Respiratory System 339,"The pressure inside a gas cylinder remains constant while some gas is let out, because the volume of the cylinder has not changed.","If the lungs could expand to twice their volume, they would contain air at twice the pressure.",B
"If the partial pressure of oxygen in the atmosphere was halved, what effect would this have on the amount of oxygen that would now dissolve in the alveo-lar ﬂ uid? It would",decrease to one quarter its former value.,decrease to one half its former value.,be about the same as before.,increase to one and a half times its former value.,B
At a height of 3000 m above sea level atmospheric pressure is 30 kPa less than at sea level. A consequence of this lower pressure is that less oxygen will dis-solve in the alveolar ﬂ uid. The reason for this is that:,the solubility coefﬁ cient of oxygen is lower.,the partial pressure of oxygen in the atmosphere is lower.,water vapour evaporating from the lung will exert a greater partial pressure.,there will be more carbon dioxide leaving the blood and entering the alveoli. 13.2 Pressure Applied to the Respiratory System 340,B
"If the partial pressure of oxygen in the air contained in the alveoli of the lungs is 14 kPa, then the partial pressure of oxygen dissolved in the alveolar ﬂ uid will be:",Very close to 14 kPa,Signiﬁ cantly greater than 14 kPa,Signiﬁ cantly less than 14 kPa.,Unable to be determined without the solubility coefﬁ cient of oxygen and the temperature of the alveolar ﬂ uid.,A
Suppose that the partial pressure of oxygen in the alveoli is doubled from its normal value of 14 kPa. What would then be the partial pressure of oxygen dis-solved in the blood leaving the alveoli?,7 kPa,14 kPa,21 kPa.,28 kPa.,D
"If the pressure between the visceral pleura of the lungs and the parietal pleura of the thoracic cage is −6 mmHg, then13 Respiratory System 341",the lung will collapse.,exhalation is occurring.,the pressure is above atmospheric pressure.,the lungs will ﬁ ll with air.,D
"Given that de-oxygenated blood entering the alveolar capillaries has an oxygen partial pressure of 42 mmHg and a carbon dioxide partial pressure of 47 mmHg, while the partial pressures of O 2 and CO 2 in the alveolar air are 103 mmHg and 40 mmHg respectively; which of the following gas movements will occur?",Both CO 2 and O 2 move from alveolar air to the capillaries.,CO 2 moves from alveolar air to capillaries and O 2 moves from capillaries to the alveolar air.,Both CO 2 and O 2 move from capillaries to alveolar air.,CO 2 moves from capillaries to alveolar air and O 2 moves from alveolar air to the capillaries.,D
"Some partial pressures for oxygen (in mmHg) in different parts of the respira- tory system are given below. Given that atmospheric air has O 2 at 160 mmHg, which ones are reasonable values?","Capillary blood entering the alveoli has 40 mmHg, the alveolar air has 160 mmHg, capillary blood leaving the alveoli has 100 mmHg.","Capillary blood entering the alveoli has 40 mmHg, the alveolar air has 104 mmHg, capillary blood leaving the alveoli has 100 mmHg.","Capillary blood entering the alveoli has 40 mmHg, the alveolar air has 104 mmHg, capillary blood leaving the alveoli has 40 mmHg.","Capillary blood entering the alveoli has 104 mmHg, the alveolar air has 100 mmHg, capillary blood leaving the alveoli has 40 mmHg.",B
"If the partial pressure of oxygen in the alveolar air is 104 mmHg, approximately what will be the concentration of dissolved oxygen in the blood leaving the pulmonary capillaries?",21 mmHg,40 mmHg,100 mmHg,160 mmHg,C
The act of breathing in (inhalation) involves expanding the thoracic cage. What does this cause the lung volume to do?,"increase, the pressure of the air in the lungs to decrease and atmospheric air to move into the lungs.","decrease, the pressure of the air in the lungs to decrease and atmospheric air to move into the lungs.","increase, the pressure of the air in the lungs to increase and atmospheric air to move into the lungs.","decrease, the pressure of the air in the lungs to decrease and atmospheric air to move out of the lungs.",A
Henry’s law relates the amount of gas that will dissolve in a liquid to the partial pressure of the gas in contact with the liquid. In which situation would the greatest amount of oxygen dissolve in the liquid lining the alveoli?13 Respiratory System 345,Breathing in an atmosphere at normal pressure but enriched to 30 % oxygen.,Resting in a mountain range at a height of 3000 m above sea level.,Seated inside a hyperbaric chamber at a pressure of 3 atmospheres.,Scuba diving at a depth of 10 m underwater.,C
What is the likely result of an injury that severs the spinal cord between C5 and C6?,respiratory failure and death.,paraplegia,hemiplegia,quadriplegia,D
Why do some x-ray photons will pass through the human body without deflec-tion? Because:,"carbon, hydrogen and oxygen atoms are transparent to x-rays.",the energy of diagnostic x-rays is too low to produce interactions,the wavelength of x-rays is too long to interact with an object with the dimensions of the human body.,the interior of atoms is mostly empty space,D
"In a radiotherapy treatment plan for a deep tumour, which of the following is part of the treatment plan?",Saturating the healthy tissue with oxygen to minimise its sensitivity to radiation.,Using a single large dose to destroy all the tumour cells quickly.,Using low energy alpha particles in order to minimise dose to healthy tissue.,Splitting of the total dose into a number of smaller doses given daily.,D
What is a person’s metabolic rate deﬁ ned as? The rate,of energy utilisation by their body.,of energy utilisation by their body during ‘absolute rest’.,at which they consume oxygen.,at which they produce heat.,A
"When the label on a packaged food item states that 100 g contains 650 kJ of energy, it means that",the human body is able to extract 650 kJ of heat and useful work by digest- ing the food.,650 kJ of energy was consumed in growing or producing or making the food.,650 kJ of heat energy is released when 100 g of the food is burned in an atmosphere of pure oxygen.,ultimately your body will be able to perform 650 kJ of work for every 100 g of the food that you eat.,C
Which of the statements is a description of basal metabolic rate in a human?,The sum total of the energy released per minute by all of the chemical reac- tions that occur in the body.,the rate of energy utilisation during “absolute rest”.,The power generated by the body’s activities.,The oxygen consumption (in l/min) of an individual.,B
