question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
How do calcitonin or parathyroid hormone control blood calcium levels?,Calcitonin acts to increase blood calcium levels,Parathyroid hormone release is inhibited by increased calcium levels,Parathyroid hormone stimulates bone resorbing cells to take up calcium,Calcitonin inhibits parathyroid hormone 10 Endocrine System 209,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.906,Chapter 16 - Endocrine System,"blood, control, hormone, parathyroid",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.931,chapter_16::16_x_hormone_highlights; chapter_16::16_3_endocrine_glands_hormones_heads_up; chapter_9::9_x_control_of_breathing_heads_up,"blood, hormone, parathyroid"
To which group of hormones does aldosterone belong?,catecholamines,glucocorticoids,mineralocorticoids,gonadocorticoids,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.959,Chapter 16 - Endocrine System,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, aldosterone, hormone, of, to",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.920,chapter_16::16_x_hormone_highlights; chapter_9::9_x_x_mechanics_of_inspiration; chapter_1::1_9_proteins_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_16::16_3_endocrine_glands_hormones_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, aldosterone, hormone"
What is a person’s metabolic rate deﬁ ned as? The rate,of energy utilisation by their body.,of energy utilisation by their body during ‘absolute rest’.,at which they consume oxygen.,at which they produce heat.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.903,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"metabolic, metabolic rate, rate, the",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.919,chapter_16::16_x_hormone_highlights; chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_x_control_of_breathing_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"metabolic, metabolic rate, rate"
How do steroid hormones differ from amino acid-based hormones?,steroid hormones are water soluble whereas amino acid based hormones are not.,the receptors for steroid hormones are only in the cytoplasm or the nucleus (and amino acid-based hormones are not) 10 Endocrine System 199,"steroid hormones are made only in the adrenal glands, while amino acid- based hormones are produced by a variety of glands.","steroid hormones activate a G-protein and exert their effect via “second messengers”, but the action of amino acid-based hormones results directly on binding to their receptor.",B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.830,Chapter 16 - Endocrine System,"from, hormone",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.904,chapter_16::16_x_hormone_highlights,hormone
What hormone does the thyroid produce?,thyroid stimulating hormone,calcitriol,thyroxine,parathyroid hormone,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.807,Chapter 16 - Endocrine System,"hormone, the, thyroid",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.861,chapter_16::16_x_hormone_highlights; chapter_16::16_3_endocrine_glands_hormones_heads_up,"hormone, thyroid"
What effect does parathyroid hormone have?,It increases plasma Ca 2+ concentration,It decreases plasma Ca 2+ concentration,It increases the rate of ATP formation,It stimulates the thyroid gland to produce thyroxine,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.618,Chapter 16 - Endocrine System,"hormone, parathyroid",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.861,chapter_16::16_x_hormone_highlights; chapter_16::16_3_endocrine_glands_hormones_heads_up,"hormone, parathyroid"
Which hormones does the pancreas produce?,epinephrine and norepinephrine.,oxytocin and antidiuretic hormone.,glucagon and insulin.,glucocorticoids and aldosterone,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.807,Chapter 16 - Endocrine System,"hormone, pancrea, the",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.861,chapter_16::16_x_hormone_highlights; chapter_16::16_3_endocrine_glands_hormones_heads_up,"hormone, pancrea"
Where is the hormone progesterone produced?,by the thecal cells that surround the follicle,in the anterior pituitary,in the corpus luteum,by the developing follicle,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.807,Chapter 16 - Endocrine System,"hormone, progesterone, the",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.861,chapter_16::16_x_hormone_highlights; chapter_1::1_2_elements_and_atoms_heads_up,"hormone, progesterone"
Which three factors affect blood pressure?,"heart rate, stroke volume and total peripheral resistance.","cardiac output, heart rate and pulse pressure.","total peripheral resistance, cardiac output and blood volume.","diastolic pressure, systolic pressure and pulse pressure.",C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.717,Chapter 16 - Endocrine System,"blood, blood pressure, pressure",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.852,chapter_16::16_x_hormone_highlights,"blood, blood pressure, pressure"
What does insulin do?,it lowers blood sugar level,it causes the breakdown of glycogen to glucose,it increases metabolic rate,it hydrolyses glucose into ATP,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.640,Chapter 16 - Endocrine System,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, insulin",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.721,chapter_16::16_x_hormone_highlights,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, insulin"
What effect does aldosterone have?,It causes glucose to be absorbed from the blood,It cause Na + to be absorbed in the kidneys,It causes Ca ++ to be absorbed from the gut,It causes K + to be absorbed from the ﬁ ltrate.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.628,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, aldosterone",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.710,chapter_16::16_x_hormone_highlights; chapter_10::10_x_lymph_nodes_organs,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, aldosterone"
What effect does insulin have?,it increases metabolic rate,it causes the breakdown of glycogen to glucose,it lowers blood sugar level,it stimulates gluconeogenesis,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.628,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, insulin",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.710,chapter_16::16_x_hormone_highlights; chapter_10::10_x_lymph_nodes_organs,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, insulin"
What effect does aldosterone have?,increases the absorption of Na + from the kidney tubules.,makes the kidney tubules more permeable to water.,catalyses the formation of angiotensin I.,blocks the release of ADH,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.628,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, aldosterone",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.710,chapter_16::16_x_hormone_highlights; chapter_10::10_x_lymph_nodes_organs,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, aldosterone"
What does gonadotrophin-releasing hormone stimulate?,The hypothalamus,The anterior lobe of pituitary gland,Spermatogenesis or oogenesis,The production of testosterone or oestrogen,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.353,Chapter 16 - Endocrine System,hormone,chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.671,chapter_16::16_x_hormone_highlights,hormone
What effect does luteinising hormone have?,it stimulates the growth of a few follicles each month,stimulates ovulation and maintains the corpus luteum,it prepares the uterus for pregnancy,it establishes and maintains the secondary sex characteristics,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.346,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,hormone,chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.660,chapter_16::16_x_hormone_highlights,hormone
Which statement below about hormones is true?,Hormones are enzymes that catalyse reactions,Hormones are released into the blood circulation,Hormones affect all cells of the body,Hormones are released by neurones at synapses,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.630,Chapter 16 - Endocrine System,"below, hormone",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.651,chapter_16::16_x_hormone_highlights,hormone
Which statement is NOT CORRECT about hormones:,They are chemical substances that alter cell activity,They regulate metabolic function of other cells in the body,Steroid hormones are amino acid-based and are synthesized from cholesterol,They are produced in glands and transported via the blood stream,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.370,Chapter 1 - Chemicals; Chapter 9 - Respiratory System; Chapter 16 - Endocrine System,is,chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.651,chapter_16::16_x_hormone_highlights,hormone
What does gonadotropin releasing hormone (GnRH) do?,stimulates the anterior pituitary to release LH.,stimulates the anterior pituitary to release both LH and FSH.,stimulates the anterior pituitary to release FSH.,stimulates the corpus luteum to release progesterone.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.339,Chapter 16 - Endocrine System,hormone,chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.651,chapter_16::16_x_hormone_highlights,hormone
Colloid osmotic pressure,is due to all of the dissolved particles in blood,is the difference in pressure between the arterial end and the venous end of a capillary,is the difference in pressure between the inside of a capillary and the inter - stitial fluid,is due to the plasma proteins in the blood,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.371,Chapter 16 - Endocrine System,pressure,chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.497,chapter_16::16_x_hormone_highlights,pressure
