question,optionA,optionB,optionC,optionD,answer
What is one difference between static electricity and current electricity?,"Static electricity ﬂ ows in the human body, while current electricity ﬂ ows in electrical appliances.",No useful purpose has been found for static electricity.,"In current electricity, charges are moving whereas in static electricity, charges do not move.","Direct current involves static electricity, while alternating current involves current electricity.",C
What is one difference between direct current (DC) and alternating current (AC)?,"DC can produce a fatal shock, whereas AC cannot.","AC can supply power to portable devices, but DC cannot.",AC can be transmitted over long distances more cheaply than but DC.,"DC can be easily transformed to a different voltage, but AC cannot.",C
The purpose of a fuse (or circuit breaker) is to prevent any ﬂ ow of current. How is this done?,By connecting the active wire to earth.,By connecting the earth wire to the supply cables.,By disconnecting the neutral wire from the supply cables.,By disconnecting the active wire from the supply cables.,D
"When electrical equipment becomes faulty, the casing (if made of metal) may become live. In this case what is the function of the earth wire on the equipment?",To provide a path to ground that has high electrical resistance.,To provide a path to ground that has low electrical resistance.,To provide a path to ground for excess heat to ﬂ ow through.,To melt and thus break the circuit so that current can no longer ﬂ o w .,B
What are the three wires connected to household ‘three pin plugs’ on electrical cords called?,"earth, active and fuse","live, return and fuse","active, neutral and earth","active, neutral and live",C
"In an electrical device, a correctly installed earth wire provides protection against what?",The electrical device receiving too high a current.,It protects the fuse or circuit breaker from too much current.,Electrocution of a person touching the faulty electrical device.,It protects against stray currents that may exist in the ground (the soil).,C
"Choose the correct alternative to make the following sentence correct. “If a person is in contact with the active wire of a domestic 240 volt electricity supply, a macroshock will occur if the current that ﬂ ows is “above/below” one milliamp and there is a second connection between the person and the “active/ground”.",below……… active wire,below……… ground,above……… active wire,above……… ground,D
Why does a correctly installed Earth wire provides protection against electrocu- tion by a faulty electrical device? Because:,it is made of thick copper wire so presents almost zero resistance,a fuse is located on eh Earth wire which will “blow” if excessive current ﬂ ows.,The Earth wire is connected to ground and to the metal case of the appliance.,The on/off switch is on the Earth wire so that power can be turned off.,C
"Levers are acted upon by forces known as the load, effort, and fulcrum. “Third class” levers are characterised by having the:",effort located between the other two forces,load located between the other two forces,fulcrum located between the other two forces,resistance located between the other two forces,A
"Levers are acted upon by forces known as the effort, load/resistance and ful- crum. “Third class” levers are characterised by having the:",effort located between the other forces,load located between the other forces,fulcrum located between the other forces,resistance located between the other forces,A
A requirement in traction is that the traction force is equal in magnitude but in the opposite direction to the counter traction force. This requirement is really a statement of:,Ohm’s law.,Pascal’s principle.,Newton’s ﬁ rst law.,Newton’s third law.,D
The ﬁ gure below whose corners are labelled ABCD could represent the vector diagram for a Hamilton-Russell traction system if the lines were the correct length and an arrow pointing in the correct direction was drawn on them. Which of the following modiﬁ cations to the diagram would make it more closely resemble the correct diagram?,"The three lines D to C, C to B and B to A should be the same length and an arrow pointing from D to A should be drawn on the fourth line.",Arrows should be drawn so that their directions describe an anticlockwise circuit and the line A to D should be the longest. 19 Biomechanics 490,The resultant traction force is represented by the vector from C to B and should be longer than the other three lines.,"All four lines should be the same length and the vector directions are from D to C, from C to B, from B to A, and from A to D. B AC D",A
