question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
"If an atheroma reduces the diameter of an artery from 2 mm to 1 mm, what effect would this have on the blood flow through the artery? (According to Poiseuille’s law, volume flow rate through a blood vessel is proportional to its radius to the fourth power i.e. V ∝ R 4).",blood flow would decrease to half (1/2) the value for an artery with diameter 2 mm.,blood flow would decrease to a quarter (1/4) of the value for an artery with diameter 2 mm.,blood flow would decrease to an eighth (1/8) of the value for an artery with diameter 2 mm.,blood flow would decrease to one sixteenth (1/16) of the value for an artery with diameter 2 mm.,D,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System; Chapter 1 - Chemicals,"., 2, a, it, of, on, the, thi, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"2, a, it, of, the, to"
"If the radius of a blood vessel is halved, the blood flow through it drops to one sixteenth its previous value. This statement could be describing which of the following?",a decrease in pressure gradient,atherosclerosis,vasoconstriction,Poiseuille’s law12.5 Pressure Applied to the Cardiovascular System 290,D,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification; Chapter 10 - Lymphatic System,"a, be, it, of, of a, the, thi, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"a, it, of, the, to"
The lists below include of four respiratory tract structures. Which list has them in the order that inhaled air would pass through them on the way to the lungs?,"glottis, pharynx, conchae, trachea","nares, pharynx, larynx, conchae","conchae, pharynx, larynx, trachea","pharynx, conchae, trachea, glottis",C,,,,,,,,,,,,,Chapter 2 - Classification,0.999,Chapter 2 - Classification,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, in, include, of, on, order, the, them, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, include, of, the, to"
"In order to focus on objects that are very close to the eye, what must happen to the human lens? It must:",increase its focal length,increase the amount of refraction it causes,be stretched to a thinner shape,decrease its dioptre value,B,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, are, focu, in, it, on, order, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, are, it, the, to"
Which structure lies on the boundary between the middle and inner ear and has the stapes bound to it?,Ampulla,Oval window,Round window,Tympanic membrane,B,,,,,,,,,,,,,Chapter 2 - Classification,0.991,Chapter 2 - Classification; Chapter 16 - Endocrine System,"and, it, on, the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"and, it, the, to"
"When a sound with a particular frequency is played at a loudness of 60 dB, and compared to the same sound played at 10 dB, what can be said about the inten-sity (in W/m 2) of the 60 dB sound? It is:",50 times more intense than the 10 dB sound.,5000 times more intense than the 10 dB sound.,"50,000 times more intense than the 10 dB sound.","100,000 times more intense than the 10 dB sound.",D,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 1 - Chemicals,"2, a, and, at, at a, be, can, can be, in, it, of, the, to, to the, with",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"2, a, and, it, of, the, to, with"
Exposing a foetus or young baby to x-rays should be avoided. What is the cause of the danger most likely to be due to?,Denaturing of cells due to the increase in temperature in cells absorbing radiation.,Damage to a cell’s DNA. 17 Ionising Radiation 445,The baby becoming radioactive.,The formation of a blood clot.,B,,,,,,,,,,,,,Chapter 2 - Classification,0.996,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, be, most, of, the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"a, most, of, the, to"
What time does the half-life of a radioactive sample refer to? The time for the,activity to halve.,count rate to double,parent nuclei to decay,number of nuclei to halve,A,,,,,,,,,,,,,Chapter 2 - Classification,0.988,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, of, of a, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, of, the, to"
"If a thickness of 7.35 mm of lead can absorb half of the 1 MeV gamma photons that enter the lead, then what fraction of gamma rays will be absorbed by twice this thickness (i.e. 14.7 mm)?",Three quarters,"Seven eighths17.2 Radioactivity, Radiotherapy, Nuclear Medicine, Radiation Safety 462",Fifteen sixteenths,Sixteen sixteenths,A,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification,"a, be, by, can, fraction, fraction of, of, the, thi",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, by, fraction, fraction of, of, the"
"A household light globe with a power rating of 60 W operates at a potential difference of 240 V and has a resistance of 960 . Using this information and Ohm’s law, the current (I) may be calculated to be:",I = V ÷ R = 240 ÷ 960 = 0.25 A,I = R ÷ V = 960 ÷ 240 = 4 A,I = P ÷ V = 60 ÷ 240 = 0.25 A,I = V ÷ P = 240 ÷ 60 = 4 A,A,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 1 - Chemicals,"., a, and, at, at a, be, of, the, thi, to, us, with",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up,"a, and, of, the, to, with"
"A person, holding to the edge of the bath, steps out onto an exposed wire in a frayed electrical cord attached to a domestic (240 V) radiant heater on the ﬂ oor. Consequently a fatal current of 100 mA ﬂ ows between their hand and foot. What must be the electrical resistance between these two points?",240 × 100 = 2.4 ohms,240 × 0.1 = 24 ohms,240 × 0.1 = 2400 ohms,"240 × 100 = 24,000 ohms",C,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"a, and, be, in, of, on, the, to, to the, two",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"a, and, of, the, to"
"Suppose that while crawling around inside the roof space of your house, you touch a bare wire with your bare hand while touching the brick wall with the other bare hand. Which of the following wires would be most likely to deliver a fatal shock?",The neutral wire.,The active wire.,The telephone wire.,The earth wire.,B,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"a, be, most, of, the, to, with",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"a, most, of, the, to, with"
The potential differences generated by the heart muscle as it contracts and relaxes can be measured by placing electrodes on the surface of the body. What is the record of these electrical events correctly called?,An electrocardiogram,limb lead II,An electrocardiograph,An EEG,A,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 16 - Endocrine System,"and, be, by, can, can be, correctli, it, of, on, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"and, by, it, of, the"
"Consider a cardiac monitor whose time-base control is set so that the ECG trace moves horizontally at 25 mm/sec. If the patient’s heart rate is 75 beats per min-ute, how far apart would the peaks of the ECG trace be?",15 mm,18 mm 18 Electricity 474,20 mm,25 mm,C,,,,,,,,,,,,,Chapter 2 - Classification,0.994,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, at, be, how, move, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, move, of, the"
Use the equation PF A=¸ to determine the pressure on the knee joint (area = 100 cm 2 ) when a 70 kg person is standing on one leg (assume that 70 kg is the body mass above the knee). Hint: convert cm 2 to m 2,7 kPa,70 kPa,700 kPa,7000 kPa,C,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 1 - Chemicals,"., 2, a, on, the, to, use",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"2, a, the, to"
The process of “diffusion” through a membrane may be described by which of the following?,the movement of ions and molecules away from regions where they are in high concentration towards regions where they are in lower concentration.,the use of energy from ATP to move ions and small molecules into regions where they are in lower concentration.,the plasma membrane engulfs the substance and moves it through the membrane.,the use of energy from ATP to move water molecules against their concen- tration gradient.,A,,,,,,,,,,,,,Chapter 2 - Classification,0.982,Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"a, be, by, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, by, of, the"
The process of “active transport” through a membrane may be described by which of the following?,the movement of ions and small molecules away from regions where they are in high concentration.,the use of energy from ATP to move ions and small molecules into regions where they are in lower concentration.,the plasma membrane engulfs the substance and moves it through the membrane.,the use of energy from ATP to move ions and small molecules against their concentration gradient.,D,,,,,,,,,,,,,Chapter 2 - Classification,0.981,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"a, be, by, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, by, of, the"
Which of the following is a definition of a molecule? The particle that composes:,covalent compounds,non-metal elements,electrolytes,ionic compounds,A,,,,,,,,,,,,,Chapter 2 - Classification,0.997,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, definition, definition of, definition of a, of, of a, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"a, of, the"
Which of the following structures represents a molecule belonging to the alco- hol family?,CH 3 – COOH,CH 3 – OH,CH 3 – O – CH 3,CH 3 – CO – CH 3,B,,,,,,,,,,,,,Chapter 2 - Classification,0.999,Chapter 2 - Classification,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, a, belong, belong to, belong to the, famili, of, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, a, of, the, to"
Which of the following structures represents a molecule belonging to the ketone family?,CH 3–CO–NH 2,CH 3–NH 2,CH 3 – O – CH 3,CH 3 – CO – CH 3,D,,,,,,,,,,,,,Chapter 2 - Classification,0.999,Chapter 2 - Classification,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, a, belong, belong to, belong to the, famili, of, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, a, of, the, to"
"When a medicine is delivered via a patch attached to the skin, it is said to be delivered:",transdermally,subcutaneously,topically,intramuscularly,A,,,,,,,,,,,,,Chapter 2 - Classification,0.993,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, be, it, the, to, to the, via",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up,"a, it, the, to, via"
What name is given to the movement of food material through the gastrointes- tinal tract?,peristalsis,segmentation,deglutition,bowel movement,A,,,,,,,,,,,,,Chapter 2 - Classification,0.990,Chapter 2 - Classification,"food, material, name, of, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up,"food, material, of, the, to"
What would be the effect produced if the cardiovascular centre increased the rate of parasympathetic impulses it sends out?,heart rate would increase,heart rate would decrease,vasoconstriction of blood vessels would increase,vasodilation of blood vessels would increase,B,,,,,,,,,,,,,Chapter 2 - Classification,0.965,Chapter 2 - Classification; Chapter 16 - Endocrine System,"be, it, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"it, of, the"
"Levers are acted upon by forces known as the load, effort, and fulcrum. “Third class” levers are characterised by having the:",effort located between the other two forces,load located between the other two forces,fulcrum located between the other two forces,resistance located between the other two forces,A,,,,,,,,,,,,,Chapter 2 - Classification,0.987,Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"and, are, by, class, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"and, are, by, the"
"Levers are acted upon by forces known as the effort, load/resistance and ful- crum. “Third class” levers are characterised by having the:",effort located between the other forces,load located between the other forces,fulcrum located between the other forces,resistance located between the other forces,A,,,,,,,,,,,,,Chapter 2 - Classification,0.987,Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"and, are, by, class, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"and, are, by, the"
"Levers are acted upon by forces known as the load, effort, and fulcrum. “First class” levers are characterised by having the:",effort located between the other two forces,load located between the other two forces,fulcrum located between the other two forces,the effort and the load on opposite sides of the fulcrum,C,,,,,,,,,,,,,Chapter 2 - Classification,0.993,Chapter 2 - Classification; Chapter 16 - Endocrine System,"and, are, by, class, first, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"and, are, by, the"
The appendicular skeleton includes all of the following EXCEPT one. Which one?,the pectoral girdle,the thoracic cage,the phalanges,the lower limbs,B,,,,,,,,,,,,,Chapter 2 - Classification,0.948,Chapter 2 - Classification,"all, include, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up,"all, include, of, the"
What feature of the small intestine enhances its ability to absorb digested food?,its large surface area,the gaps between adjacent epithelial cells,secretion of the hormone absorptin,its longer length compared to the large intestine,A,,,,,,,,,,,,,Chapter 2 - Classification,0.984,Chapter 2 - Classification,"digest, food, it, of, small, the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up,"digest, food, it, of, the, to"
During which phase are our gastric secretions stimulated by the sight and smell of food?,gastric,digestive 9 Gastro-Intestinal System 187,cephalic,intestinal,C,,,,,,,,,,,,,Chapter 2 - Classification,0.965,Chapter 2 - Classification; Chapter 16 - Endocrine System,"and, are, by, food, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"and, are, by, food, of, the"
The heart can be made to beat faster by which of the following?,sympathetic stimulation of the SA node,sympathetic stimulation of the A V node,parasympathetic stimulation of the SA node,parasympathetic stimulation of the A V node,A,,,,,,,,,,,,,Chapter 2 - Classification,0.990,Chapter 2 - Classification,"be, by, can, can be, of, the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up,"by, of, the, to"
When performing cardio-pulmonary resuscitation (CPR) why do you use the “heel” of the hand rather than the whole palm and fingers?,A greater force can be exerted by the “heel” of the hand which results in a greater pressure being exerted.,"Using the “heel” places a smaller area of the hand in contact with the ster - num, hence allows a greater force to be exerted.",The same force can be applied to a smaller area of the sternum which is less able to resist the greater downward pressure.,The resuscitator’s wrist is less likely to be damaged by applying CPR in this way.,C,,,,,,,,,,,,,Chapter 2 - Classification,0.963,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"and, of, the, use",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"and, of, the"
The “lower respiratory tract” includes all those structures below which of the following?,the internal nares,larynx,trachea,conducting zone,B,,,,,,,,,,,,,Chapter 2 - Classification,0.945,Chapter 2 - Classification; Chapter 16 - Endocrine System,"all, include, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up,"all, include, of, the"
What does the physical half-life of a pure sample of radioactive material refer to?,the amount of time taken for half of the radioactive atoms to decay.,half of the time that it would take for all of the radioactive atoms to decay. 17 Ionising Radiation 449,the average time taken for any particular radioactive atom to decay.,the time it takes for half of a sample of ingested radioisotope to be cleared from the body.,A,,,,,,,,,,,,,Chapter 2 - Classification,0.978,Chapter 2 - Classification,"a, material, of, of a, the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up,"a, material, of, the, to"
"If the pH of a patient’s blood is 7.4, then it can be said that the patient has:",acidic blood,alkaline blood 4 Chemistry for Physiology 85,neutral blood,alkalosis,B,,,,,,,,,,,,,Chapter 2 - Classification,0.991,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, be, can, can be, it, of, of a, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.997,chapter_2::2_5_the_animal_kingdom_heads_up,"a, it, of, the"
"If the pH of a sample of blood was 7.4, which term below would be applied to it?",acidotic,"acidic4.5 Acids, Bases and Buffers 88",alkalotic,alkaline,D,,,,,,,,,,,,,Chapter 2 - Classification,0.986,Chapter 2 - Classification; Chapter 10 - Lymphatic System; Chapter 16 - Endocrine System,"a, be, it, of, of a, the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.997,chapter_2::2_5_the_animal_kingdom_heads_up,"a, it, of, the, to"
Which of the following structures represents molecules belonging to the amide family?,CH 3 – SH,CH 3 – NH 2,CH 3 – CO – NH 2,CH 3 – OH,C,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, belong, belong to, belong to the, famili, of, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.997,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, of, the, to"
