question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
What structure separates the thoracic cavity from the abdominal cavity?,The mediastinum,The diaphragm,The peritoneum,The pylorus,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.947,Chapter 1 - Chemicals,"from, separate, structure, the",,,0.000,,
Which structure within the cell produces ATP (adenosine triphosphate)?,the mitochondria,the nucleus,peripheral proteins,the endoplasmic reticulum,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.783,Chapter 1 - Chemicals,"cell, structure, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.796,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_1::1_x_organic_molecules_overview,"cell, the"
Which of the following is NOT a component of the cell plasma membrane?,cholesterol,proteins,microﬁ laments,phospholipids,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.984,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"a, cell, is, of, the",,,0.000,,
Which list below contains the four types of tissue?,"extracellular ﬂ uid, skeletal tissue, glandular tissue, connective tissue.","extracellular ﬂ uid, muscle tissue, glandular tissue, cartilaginous tissue.","neural tissue, skeletal tissue, epithelial tissue, cartilaginous tissue.","Neural tissue, muscle tissue, epithelial tissue, connective tissue.",D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.904,Chapter 1 - Chemicals,"contain, list, of, the",,,0.000,,
"Except for one, the following are types of cells. Which one is NOT a type of cell?",platelets,leucocytes,macrophages,osteoblasts,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.993,Chapter 1 - Chemicals,"a, are, cell, for, is, of, of cell, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.999,chapter_1::1_2_elements_and_atoms_heads_up,"a, are, cell, for, is, of, the"
In which part of a cell does the process of making ATP from oxygen and glu- cose take place?,lysosomes,ribosomes,mitochondria,golgi apparatus,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"a, and, cell, from, in, make, of, oxygen, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up,"a, and, cell, in, of, oxygen, the"
Which of the following is a function of membrane proteins?,to process lipids and proteins for secretion through the plasma membrane,to act as receptors for hormones,to synthesise proteins from amino acids,to act as a cytoskeleton to support and shape the cell,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.992,Chapter 1 - Chemicals,"a, function, function of, is, of, protein, the",,,0.000,,
What is the difference between simple squamous cells and simple columnar cells?,squamous cells are ﬂ attened while columnar cells are taller than they are wide.,simple squamous cells are one layer thick while simple columnar cells are several layers thick.,simple squamous cells are epithelial tissue while simple columnar cells are connective tissue.,squamous cells are ﬂ attened while columnar cells are cuboidal.,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.937,Chapter 1 - Chemicals,"and, cell, is, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.995,chapter_1::1_2_elements_and_atoms_heads_up,"and, cell, is, the"
Which of the following is NOT an example of a cell?,macrophages,lysosomes,plasmocytes,chondroblasts,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.991,Chapter 1 - Chemicals,"a, cell, example, example of, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.996,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, cell, is, of, the"
Which cell organelles contain an acidic environment capable of digesting a wide variety of molecules?,Lysosomes,Ribosomes,Centrosomes,Golgi complex,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.977,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"a, cell, contain, molecule, of, of molecule",,,0.000,,
Which form of transport through the plasma membrane requires the expendi- ture of energy by the cell?,Facilitated diffusion,Osmosis,Active transport,Diffusion,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"by, cell, energi, form, of, the, transport",,,0.000,,
Which of the tissue types below consists of a single layer of cells?,stratiﬁ ed squamous epithelial tissue,glandular epithelium 2.1 Cells and Tissues 10,areolar connective tissue,simple columnar epithelial tissue,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.995,Chapter 1 - Chemicals,"a, cell, layer, of, of cell, single, the",,,0.000,,
One of the following is NOT a serous membrane. Which one?,pleura,peritoneum,mucosa,pericardium,C,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.918,Chapter 10 - Lymphatic System; Chapter 1 - Chemicals,"a, of, one",,,0.000,,
Which of the following is NOT made predominantly from epithelial tissue?,In the dermis,In exocrine glands,In endocrine glands,In the endothelium of blood vessels,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.947,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"from, is, made, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.971,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"is, made, of, the"
What are tendons and ligaments composed of?,Dense connective tissue,Liquid connective tissue,Muscular tissue,Epithelial tissue,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.941,Chapter 1 - Chemicals,"and, are, compos, compos of, of",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.988,chapter_1::1_8_fats_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"and, are, compos, compos of, of"
What is the composition of the intercellular matrix in connective tissue?,Cells and ﬁ bres,Serous and mucus membranes and lamina propria,Protein ﬁ bres and ground substance,Interstitial ﬂ uid,C,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.961,Chapter 10 - Lymphatic System; Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"composition, composition of, in, of, tissue",,,0.000,,
Which statement about the plasma membrane is INCORRECT ?,It is selectively permeable.,It is composed of two layers of glycoprotein molecules.,It contains receptors for speciﬁ c signalling molecules. 2 Cells and Tissues 11,The plasma membranes of adjacent cells are held together by desmosomes.,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.642,Chapter 1 - Chemicals,"is, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.803,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"is, the"
Which of the following is NOT epithelial tissue?,the epidermis,glandular tissue,the internal lining of blood vessels,the dermis,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.821,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"of, of the, the",,,0.000,,
Which of the following is NOT a cell found in connective tissue?,adipocytes,chondroblasts,keratinocytes,osteoblasts,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.994,Chapter 1 - Chemicals,"a, cell, found, found in, in, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.999,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, found, found in, in, is, of, the"
What tissue has cells that are closely packed and that have one surface attached to a basement membrane and the other free to a space?,epithelial tissue,muscle tissue,connective tissue,nervous tissue,A,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.995,Chapter 10 - Lymphatic System; Chapter 1 - Chemicals,"a, and, cell, have, one, tissue, to",,,0.000,,
What is the name of the mechanism that ensures that there is a higher concen- tration of sodium ions in the extracellular ﬂ uid than in the intracellular ﬂ uid?,Facilitated diffusion,The sodium-potassium pump,Secondary active transport,Osmosis,B,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"a, in, in the, ion, is, name, name of, of, sodium, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, in, is, of, sodium, the"
"What are lysosomes, centrosomes and ribosomes example of?",stem cells,organelles within a cell,sensory receptors in the dermis,exocrine glands,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.937,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"and, are, example, example of, of",chapter_1::1_3_compounds_and_molecules_heads_up,1.3 Compounds and Molecules (Heads-up),0.986,chapter_1::1_3_compounds_and_molecules_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"and, are, example, example of, of"
What does simple columnar epithelial tissue refer to? Tissue with,a single layer of cells longer than they are wide.,"a single layer of cells whose length, breadth and depth are about the same size.","several layers of cells, all of the same type.",several layers of cells but without a basement membrane.,A,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.801,Chapter 10 - Lymphatic System,"tissue, to",,,0.000,,
Which of the following is NOT an example of connective tissue?,blood,bone,tendon,epidermis,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.963,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"example, example of, is, of, the",,,0.000,,
What is the function of phospholipids in the plasma membrane?,to maintain the intracellular ﬂ uid at a similar composition to that of the interstitial ﬂ uid.,to form channels to selectively allow passage of small molecules.,to act as receptors for signalling chemicals.,to present a barrier to the passage of water-soluble molecules.,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.996,Chapter 1 - Chemicals,"function, function of, in, in the, is, of, phospholipid, the",,,0.000,,
Which one of the following cell types is found in epithelial tissue?,plasma cells,leucocytes,keratinocytes,chondroblasts,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.987,Chapter 1 - Chemicals,"cell, found, found in, in, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.998,chapter_1::1_2_elements_and_atoms_heads_up,"cell, found, found in, in, is, of, the"
Which of the following is NOT part of the plasma membrane of a cell?,integral proteins,glycoproteins,plasma proteins,peripheral proteins,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.994,Chapter 16 - Endocrine System; Chapter 1 - Chemicals; Chapter 2 - Classification,"of, of the, part, the",,,0.000,,
A major role for mitochondria is to,transcribe the information in DNA (deoxyribonucleic acid),produce ATP (adenosine triphosphate),synthesise proteins from amino acids,use enzymes to lyse molecules,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.960,Chapter 1 - Chemicals,"a, for, is, role, to",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.935,chapter_1::1_2_elements_and_atoms_heads_up,"a, for, is"
Choose the tissue below that is one of the four primary types of body tissue.,epidermal tissue,epithelial tissue,interstitial tissue,osseous tissue,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.975,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"below, of, of the, the",,,0.000,,
What are the primary types of tissue in the body?,"Muscle, nervous, connective and epithelial","Muscle, nervous, connective, osseous and epithelial","Muscle, nervous, connective, osseous, blood and epithelial","Muscle, nervous, connective, glandular and epithelial",A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"are, are the, bodi, in, in the, in the bodi, of, the, the bodi",,,0.000,,
What is the name of the membrane that surrounds the lungs?,visceral peritoneum,parietal peritoneum,visceral pleura,dura mater,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.988,Chapter 1 - Chemicals,"is, name, name of, of, the",,,0.000,,
What is a role performed by mitochondria?,contain enzymes capable of digesting molecules,produce ATP,synthesise proteins,"synthesise fatty acids, phospholipids & cholesterol",B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.914,Chapter 1 - Chemicals,"a, by, is, role",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.935,chapter_1::1_2_elements_and_atoms_heads_up,"a, by, is"
Which of the following is NOT found in the plasma membrane?,proteins,cholesterol,endoplasmic reticulum,phospholipids,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.993,Chapter 1 - Chemicals,"found, found in, in, in the, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.998,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"found, found in, in, is, of, the"
Which one of the following cell types is found in epithelial tissue?,mast cells,adipocytes,chondroblasts,keratinocytes,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.987,Chapter 1 - Chemicals,"cell, found, found in, in, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.998,chapter_1::1_2_elements_and_atoms_heads_up,"cell, found, found in, in, is, of, the"
Which of the following is NOT part of the plasma membrane of a cell?,phospholipid,glycoprotein,chromatin,cholesterol,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.994,Chapter 16 - Endocrine System; Chapter 1 - Chemicals; Chapter 2 - Classification,"of, of the, part, the",,,0.000,,
A major role for mitochondria is to,"synthesise fatty acids, phospholipids & steroids",deliver lipids and proteins to plasma membrane for secretion,synthesise proteins from amino acids,produce ATP (adenosine triphosphate),D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.960,Chapter 1 - Chemicals,"a, for, is, role, to",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.935,chapter_1::1_2_elements_and_atoms_heads_up,"a, for, is"
Choose the tissue below that is NOT one of the four primary types of body tissue.,connective tissue,muscular tissue,nervous tissue,osseous tissue,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.974,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"below, of, of the, the",,,0.000,,
What is the purpose of mitochondria?,to store the nucleolus and chromatin,to produce adenosine triphosphate 2 Cells and Tissues 15,to support and shape the cell.,they produce enzymes to break down molecules,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.831,Chapter 1 - Chemicals; Chapter 9 - Respiratory System,"is, of, the",,,0.000,,
The plasma membrane of a cell contains molecules that have a hydrophobic end and a hydrophilic end What are they called?,phospholipids,cholesterol,integral proteins,glycoproteins,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.998,Chapter 1 - Chemicals,"a, and, are, call, cell, contain, molecule, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.999,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, and, are, cell, of, the"
Adipocytes are found in which type of tissue?,muscle tissue,epithelial tissue,nervous tissue,connective tissue,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.962,Chapter 1 - Chemicals,"are, found, found in, in, of",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.986,chapter_1::1_2_elements_and_atoms_heads_up,"are, found, found in, in, of"
What is the role of mitochondria? To:,function in cell division,synthesise proteins,form part of the plasma membrane,"synthesise fatty acids, phospholipids and steroids.",C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.960,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"is, of, role, the, to",,,0.000,,
Which one of the following cell types is found in epithelial tissue?,mast cells,adipocytes,chondroblasts,melanocytes,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.987,Chapter 1 - Chemicals,"cell, found, found in, in, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.998,chapter_1::1_2_elements_and_atoms_heads_up,"cell, found, found in, in, is, of, the"
What is the difference between “loose” connective tissue (CT) and “dense” connective tissue?,Fibres occupy most of the volume in dense CT,"Dense CT includes cartilage, loose CT does not. 2.1 Cells and Tissues 16",Loose CT has a good blood supply while dense CT does not.,Loose CT has no ﬁ bres (and dense CT does).,A,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.879,Chapter 10 - Lymphatic System,"and, difference, tissue",,,0.000,,
Facilitated diffusion refers to the process of,movement along a concentration gradient assisted by protein carrier molecules.,movement of ions and molecules along a concentration gradient.,transport of molecules and ions against their concentration gradient.,water movement through a semi-permeable membrane,A,,,,,,,,,,,,,Chapter 2 - Classification,0.892,Chapter 2 - Classification; Chapter 16 - Endocrine System,"of, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.975,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up,"of, the, to"
"What do ﬁ broblasts, chondroblasts, osteoblasts and haemocytoblasts have in common?",they are all types of white blood cell.,they are all macrophages.,they are all immature cells.,they are all types of epithelial cell.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.795,Chapter 1 - Chemicals; Chapter 2 - Classification; Chapter 10 - Lymphatic System,"and, common, in",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.967,chapter_1::1_2_elements_and_atoms_heads_up,"and, common, in"
Which is NOT true of connective tissue (CT)?,the cells are closely packed,the tissue contains protein ﬁ bres and ground substance.,"types include loose CT, dense CT and liquid CT.",CT contains white blood cells.,A,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.716,Chapter 10 - Lymphatic System,"of, tissue",,,0.000,,
Active transport across the plasma membrane may be described by which statement?,active transport requires energy from ATP.,active transport is also known as endocytosis.,active transport moves molecules along their concentration gradient.,active transport is the movement of lipid-soluble molecules through the plasma membrane.,A,,,,,,,,,,,,,Chapter 2 - Classification,0.800,Chapter 2 - Classification; Chapter 1 - Chemicals,"be, by, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.903,chapter_2::2_5_the_animal_kingdom_heads_up,"by, the"
Which of the following cell types denotes an immature cell?,macrophages,monocytes,osteoblasts,ribosomes,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.886,Chapter 1 - Chemicals,"cell, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.972,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"cell, of, the"
Choose the membrane that is NOT a serous membrane.,pleura,peritoneum,pericardium,lamina propria,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.808,Chapter 1 - Chemicals,"a, is, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.926,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, is, the"
Which organelle is the site of ATP production?,the nucleus,endoplasmic reticulum,mitochondria,golgi apparatus,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.815,Chapter 1 - Chemicals,"is, of, the",,,0.000,,
Which of the following is ONE major function of epithelial cells?,movement,secretion,support of other cell types,transmit electrical signals,B,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.990,Chapter 10 - Lymphatic System; Chapter 1 - Chemicals,"cell, function, major, of, one",,,0.000,,
What are the major types of tissue in the body?,"nervous, muscle, epithelial, connective.","squamous, cuboidal, columnar, transitional.","osteocytes, chondrocytes, leucocytes, adipocytes.","protein, adipose, cartilage, osseous.",A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"are, are the, bodi, in, in the, in the bodi, of, the, the bodi",,,0.000,,
