question,optionA,optionB,optionC,optionD,answer
Which part of the nephron is impermeable to water?,Proximal convoluted tubule,Distal convoluted tubule in the presence of ADH,Ascending limb of the loop of Henle,Descending limb of the loop of Henle,C
Which part of the renal tubule is impermeable to water?,the ascending limb of the loop of Henle,the collecting duct,the proximal convoluted tubule,the thin portion of the loop of Henle,A
"What is the collective term applied to the proximal and distal convoluted tubules, the loop of Henle (i.e. the nephron loop) and the glomerular capsule?",The renal corpuscle,The renal tubule,The nephron,The renal capsule,B
What part of the nephron performs the majority of the reabsorption of materi- als from the ﬁ ltrate?,The Bowman’s capsule and glomerulus,The loop of Henle (the nephron loop),The distal convoluted tubule and collecting duct,The proximal convoluted tubule,D
In which part of the nephron does most of the reabsorption of water and sol- utes occur?,the collecting duct,the nephron loop (loop of Henle),the vasa recta,the proximal convoluted tubule,D
The renal tubule of the nephron includes which of the following structures?,"Proximal convoluted tubule, vasa recta, Bowman’s capsule, collecting duct.","Distal convoluted tubule, ascending limb of Loop of Henle, Bowman’s capsule, proximal convoluted tubule.","Descending limb of Loop of Henle, collecting duct, distal convoluted tubule, ascending limb of Loop of Henle.","Glomerulus, proximal convoluted tubule, distal convoluted tubule, Bowman’s capsule.",B
From which part of the nephron is the greatest proportion of Na + absorbed from the ﬁ ltrate?,the Bowman’s capsule (i.e. renal capsule),the proximal convoluted tubule,the ascending limb of the loop of Henle,the distal convoluted tubule,B
What part of the renal tubule is NOT able to reabsorb water?,the descending limb of the loop of Henle,the proximal convoluted tubule,the ascending limb of the loop of Henle,the distal convoluted tubule,C
To what does the “juxtaglomerular apparatus” refer?,to those nephrons whose loop of Henle penetrate deep into the medulla,to the lamina densa and podocytes that form ﬁ ltration slits around the cap- illaries of the glomerulus,to the capillaries that surround the loop of Henle of juxtamedullary nephrons,to certain cells of the distal convoluted tubule where it touches the afferent arteriole.,D
In what part (or parts) of the renal tubule reabsorb the least material from the ﬁ ltrate?,the distal convoluted tubule,the loop of Henle,the proximal convoluted tubule,the distal convoluted tubule and the collecting duct together,D
From which part of the nephron is the greatest proportion of Na + absorbed from the ﬁ ltrate?,the proximal convoluted tubule,the ascending limb of the loop of Henle 11 Renal System 227,the distal convoluted tubule,the collecting duct in the presence of aldosterone,A
The nephrons of the kidney consist of,"Bowman’s capsule, a loop of Henle, a collecting duct and a renal tubule",a juxtaglomerular apparatus and collecting duct,a glomerulus and a juxtaglomerular apparatus,"a glomerulus, a proximal convoluted tubule, loop of Henle, and a distal convoluted tubule",D
Filtrate passes through each of the structures of the renal tubule listed below. Which list has the structures in the correct order?,"proximal convoluted tubule, descending limb, ascending limb, distal con- voluted tubule, collecting duct.","Bowman’s capsule, proximal convoluted tubule, ascending limb, distal convoluted tubule, descending limb.","collecting duct, proximal convoluted tubule, descending limb, ascending limb, distal convoluted tubule.","proximal convoluted tubule, distal convoluted tubule, descending limb, ascending limb, collecting duct.",A
The nephron of the kidney consists of which of the following structures?,"glomerulus, renal tubule and collecting duct.","bowman’s capsule, proximal convoluted tubule, loop of Henle, and distal convoluted tubule.",glomerulus and renal tubule,renal tubule and collecting duct.,C
Which section of the renal tubule is permeable to urea?,descending limb of the loop of Henle.,ascending limb of the loop of Henle.,collecting duct in the presence of aldosterone.,proximal convoluted tubule.,D
In which section of the renal tubule is most water reabsorbed?,descending limb of the loop of Henle.,ascending limb of the loop of Henle.,collecting duct.,proximal convoluted tubule.,D
"In the kidney, the ﬁ ltrate passes through several structures on its way to becoming urine. Which of the following lists presents these structures in the correct order?","collecting duct, glomerulus, proximal convoluted tubule, distal convoluted tubule, loop of Henle.","proximal convoluted tubule, collecting duct, glomerulus, loop of Henle, distal convoluted tubule.","glomerulus, proximal convoluted tubule, loop of Henle, distal convoluted tubule, collecting duct.","glomerulus, collecting duct, proximal convoluted tubule, distal convoluted tubule, loop of Henle.",C
"If aldosterone is present in the blood, what happens in the distal convoluted tubule?",sodium ions are reabsorbed from the ﬁ ltrate.,calcium ions are reabsorbed from the ﬁ ltrate.,sodium ions are secreted into the ﬁ ltrate.,bicarbonate ions are reabsorbed from the ﬁ ltrate.,A
What is the pulse that we feel at the anterior medial part of the elbow (when in anatomical position) called?,Radial pulse,Ulnar pulse,Carotid pulse,Brachial pulse,D
What is the pulse we feel in the anterior lateral wrist (in anatomical position – the normal wrist pulse) called?,Radial pulse,Ulnar pulse,Dorsalis pedis pulse,Brachial pulse,A
Which of the following statements from kinetic molecular theory can be used to explain why a region of low pressure will result in gas particles rushing into that region?,"Particles of a gas are widely separated, consequently can be easily compressed.",Gas particles are moving at very high speed in random directions.,There are a great many sub-microscopic particles per unit volume.,Gas particles will exert a force on colliding with the walls of their container.,B
"Consider Pascal’s principle. If the heart exerts a pressure of 120 mmHg on the blood in the aorta, where else in the body will the blood pressure be 120 mm Hg?",in the brachial artery of a seated person,in the superior vena cava of a standing person.,in the capillaries of the feet of a supine person,in the anterior tibial artery of a person who is standing,A
What may correctly be said about baroreceptors?,They are located in the walls of the aortic arch and the inferior vena cava,A drop in blood pressure triggers the baroreceptor reflex which causes vaso- dilation and an increased heart rate,They promote vasoconstriction and an increased force of myocardial con-traction in the hypotensive patient,They respond directly to alterations in circulating oxygen levels,C
What is the function of the ciliated cells of the respiratory epithelium?,to trap inhaled particles not removed by the nasal cavity,to secrete a mucus layer onto the epithelium,to move mucus and trapped particles up the bronchial tree,to secrete surfactant that decreases water surface tension,C
"A person with severe trauma to the cervical region has damage to the spinal cord. If the spinal cord is severed between C3 and C4, what is the likely outcome?",The person will be able to breathe but will have paralysis of the lower limbs.,The person will be able to breathe but will have paralysis of the upper and lower limbs.,"The person will be able to breathe with the intercostal muscles, but will lose the use of the diaphragm have paralysis of the upper and lower limbs.",The person will be unable to breathe and will have paralysis of the upper and lower limbs.,D
How is the diaphragm innervated?,By the parasympathetic division arising from the sacral region,By the spinal nerves arising from T5 to T10,By the phrenic nerves arising from C5 to C7,By the phrenic nerves arising from C3 to C5,D
What is a cavity in a skull bone that is lined with mucus membrane?,sinus,bronchiole,glottis,larynx,A
"Patients with diabetes mellitus who neglect insulin therapy rapidly metabolize lipids, and there may be an accumulation of the acidic by-products of lipid metabolism in the blood. What effect would this have on respiration?",increase in respiratory rate,decrease in respiratory rate,decrease in respiratory rate if oxygen is reduced,no inﬂ uence on respiratory rate,A
Which of these statements concerning ventilation is NOT correct?,"During inspiration, the pressure in the alveoli is less than atmospheric pressure.",Contraction of the neck muscles decreases the volume of the thoracic cavity.,"When the diaphragm contracts, thoracic cavity volume increases.","During quiet breathing, passive recoil of the lung and thoracic wall cause expiration.",B
Inhalation of air into the lungs is correctly described by which of the following?,the action of the diaphragm and the ribs create a positive pressure in the thoracic cavity which causes air to move into the lungs.,"the volume of the thoracic cavity is increased as muscles relax, thus increas- ing the pressure and air is forced into the lungs.",the thoracic cavity decreases in volume as muscles relax and pressure decreases so external air is forced into the lungs.,"the lungs expand as muscles contract, this creates a negative pressure so air is forced into the lungs.",D
"Air ﬂ ows from a region of high pressure to a region of lower pressure. To explain the process of inhalation and exhalation, you need this fact and which other?",Boyle’s law,Dalton’s law,Henry’s law,Charles’ law,A
What can correctly be said about somatic motor neurons?,they are unipolar neurons,their cell bodies are in the dorsal root ganglia,their cell bodies are located in the central nervous system,they are bipolar neurons 14 Nervous System 351,C
Where are the cell bodies of somatic motor neurones found?,in the peripheral nervous system,in the central nervous system,in the dorsal root ganglia,in the spinal cord,D
What is the name of the lobe of the brain that is immediately superior to the cerebellum?,dorsal,occipital,posterior,parietal,B
Where is the autonomic control centre for most of body homeostasis located?,In the limbic system,In the brainstem,In the hypothalamus,In the cerebellum,C
Which of the following are NOT part of the cerebral cortex?,"motor areas, sensory areas and association areas",pre-central gyrus and post-central gyrus,white matter and basal nuclei,the lateral ventricles and the thalamus 14.2 Brain and Spinal Cord Anatomy 364,D
What part of the brain contains the main visceral control centre of body homeostasis?,cerebrum,diencephalon,brainstem,cerebellum,B
Where does the spinal cord start and ﬁ nish?,It extends from the foramen magnum to L1 – L2,It extends from the foramen magnum to the sacrum,It starts at the superior part of the medulla oblongata and extends to the inferior part of the cauda equina.,It extends from C7 to L5,A
What is linked to the posterior gray horn of the spinal cord?,the dorsal root of the spinal nerve that carries motor ﬁ bres,the dorsal root of the spinal nerve that carries sensory ﬁ bres,the ventral root of the spinal nerve that carries sensory ﬁ bres,the ventral root of the spinal nerve that carries motor ﬁ bres,B
What part of the brain is known as the cerebrum?,it is that part of the diencephalon that surrounds the third ventricle.,it makes up the majority of the brain stem,the superﬁ cial part consisting of sulci and gyri,the dorsal inferior part adjacent to the occipital bone,C
An image of the cross-section of a spinal cord would show “anterior (or ventral) horns”. What is in that region?,spinal nerves,ascending tracts,cell bodies of motor neurons,white matter,C
What does the term ‘decussation’ mean and where does it occur?,decussation = span. It occurs between the superior part of the brain and the inferior,decussation = cross. It occurs between the anterior part of the brain and the posterior,decussation = cross over. It occurs between the pons and the spinal cord,decussation = associate. It occurs between the sensory area and the sensory association area,C
What type of nerves are found in the dorsal root?,only afferent nerves,only efferent nerves 14.2 Brain and Spinal Cord Anatomy 374,both afferent and efferent nerves,only ganglionic nerves,A
Spinal nerves are formed from a dorsal root and a ventral root. What is true of the ventral root?,they contain sensory neurons carrying afferent impulses,they contain sensory neurons carrying efferent impulses,they contain motor neurons carrying afferent impulses,they contain motor neurons carrying efferent impulses,D
Which statement about efferent impulses in the spinal cord is correct?,They travel along the spino-thalamic and spino-cerebellar tracts.,They pass along tracts that are located in the gray matter of the spinal cord.,The nerve cells that they travel through have their cell bodies located in the dorsal root ganglia. 14 Nervous System 379,The axons carrying these impulses pass through the ventral root of the spi- nal nerves.,D
What is the purpose of the optic chiasma?,to allow images from each eye to cross over to the other side of the brain prior to crossing back at the decussation of pyramids.,to allow ﬁ bres from the medial aspect of one eye to join ﬁ bres from the lateral aspect of the other eye to form an optic tract.,to allow the ﬁ bres from the lateral aspect of each eye to come together as an optic tract.,to allow light entering the left eye to be interpreted by the right hand side of the occipital lobe (and vice versa).,B
In which region of the eye does the most detailed vision occur? The,fovea centralis,optic disc,macula lutea,ciliary body,A
What is the name of the structure that allows nerve ﬁ bres from the medial aspect of each retina to join ﬁ bres from the lateral aspect of the retina of the other eye?,optic chiasma,optic nerve,optic radiation,lateral geniculate body,A
Which statement is true?,Males have two “X” chromosomes,Females do not produce any primordial follicles after they are born.,Females have one “X” chromosome,Fertilisation occurs in the pelvic cavity before the start of the fallopian tube.,B
Where should fertilisation of the egg by a sperm occur?,in the cervix,in the uterus,in the Fallopian tube,in the abdominal cavity between ovary and Fallopian tube.,C
Which of the statements about sound and light is INCORRECT?,Sound is a mechanical wave while light does not require a medium to travel in.,Light is a transverse wave phenomenon while sound is a longitudinal wave phenomenon.,The speed of light is much greater than the speed of sound.,Ultrasound and ultraviolet light have frequencies less than infrasound and infrared light.,D
Which of the following statements about sound and light is INCORRECT?,they both extend over a range of frequencies,sound is a longitudinal wave and light is a transverse wave,the speed of travel of light is fast while sound travels relatively slowly,sound will travel through a vacuum while light requires a transparent medium.,D
