chapter,section,confidence
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.989
Chapter 3 - The Cell,3.4 The Cytoplasm,0.984
Chapter 10 - Lymphatic System,Section not found,0.990
Chapter 1 - Chemicals,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.930
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.960
Chapter 10 - Lymphatic System,Section not found,0.844
Chapter 3 - The Cell,Section not found,0.971
Chapter 3 - The Cell,Section not found,0.941
Chapter 10 - Lymphatic System,Section not found,0.985
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.986
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.994
Chapter 1 - Chemicals,Section not found,0.937
Chapter 16 - Endocrine System,Section not found,0.992
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,Section not found,0.945
Chapter 3 - The Cell,3.2 The Cell,0.986
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.995
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.988
Chapter 3 - The Cell,3.3.1 Osmosis,0.999
Chapter 3 - The Cell,Section not found,0.981
Chapter 3 - The Cell,Section not found,0.937
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.994
Chapter 1 - Chemicals,Section not found,0.970
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,0.872
Chapter 3 - The Cell,Section not found,0.990
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.994
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.971
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.819
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.988
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.970
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.907
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.974
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.875
Chapter 3 - The Cell,Section not found,0.988
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.981
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 2 - Classification,Section not found,0.837
Chapter 3 - The Cell,Section not found,0.988
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.981
Chapter 2 - Classification,Section not found,0.837
Chapter 2 - Classification,Section not found,0.837
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.955
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.990
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.993
Chapter 3 - The Cell,Section not found,0.808
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.861
Chapter 16 - Endocrine System,Section not found,0.907
Chapter 3 - The Cell,Section not found,0.979
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.994
Chapter 3 - The Cell,Section not found,0.980
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.878
Chapter 1 - Chemicals,Section not found,0.642
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.991
Chapter 3 - The Cell,Section not found,0.991
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 1 - Chemicals,1.3 Compounds and Molecules (Heads-up),0.988
Chapter 16 - Endocrine System,Section not found,0.979
Chapter 1 - Chemicals,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.945
Chapter 1 - Chemicals,Section not found,0.953
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.934
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.997
Chapter 3 - The Cell,Section not found,0.977
Chapter 3 - The Cell,Section not found,0.945
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.973
Chapter 1 - Chemicals,Section not found,0.996
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.990
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 1 - Chemicals,Section not found,0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.986
Chapter 3 - The Cell,Section not found,0.872
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.953
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.981
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.834
Chapter 3 - The Cell,Section not found,0.988
Chapter 1 - Chemicals,Section not found,0.985
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.834
Chapter 3 - The Cell,Section not found,0.915
Chapter 1 - Chemicals,Section not found,0.985
Chapter 3 - The Cell,3.2 The Cell,0.986
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.3.1 Osmosis,0.994
Chapter 3 - The Cell,Section not found,0.993
Chapter 2 - Classification,Section not found,0.963
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 16 - Endocrine System,Section not found,0.987
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.977
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.821
Chapter 1 - Chemicals,1.5 Ionization (Heads-up),0.954
Chapter 1 - Chemicals,Section not found,0.990
Chapter 3 - The Cell,Section not found,0.826
Chapter 3 - The Cell,Section not found,0.959
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,1.5 Ionization (Heads-up),0.992
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 1 - Chemicals,Section not found,0.998
Chapter 16 - Endocrine System,Section not found,0.963
Chapter 1 - Chemicals,Section not found,0.831
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.794
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.999
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.974
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,3.3.1 Osmosis,1.000
Chapter 1 - Chemicals,Section not found,0.998
Chapter 3 - The Cell,3.3.1 Osmosis,0.998
Chapter 2 - Classification,Section not found,0.952
Chapter 3 - The Cell,Section not found,0.959
Chapter 3 - The Cell,Section not found,0.935
Chapter 3 - The Cell,3.3.1 Osmosis,0.935
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.974
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.999
Chapter 16 - Endocrine System,Section not found,0.895
Chapter 3 - The Cell,3.3.1 Diffusion,0.994
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.989
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 3 - The Cell,3.3.1 Osmosis,0.998
Chapter 3 - The Cell,Section not found,0.682
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.976
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.884
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.985
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,Section not found,0.997
Chapter 16 - Endocrine System,Section not found,0.957
Chapter 3 - The Cell,3.2 The Cell,0.911
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.842
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,3.2 The Cell,0.819
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.966
Chapter 3 - The Cell,Section not found,0.834
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.994
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.796
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,3.2 The Cell,0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,Section not found,0.994
Chapter 1 - Chemicals,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.993
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.935
Chapter 3 - The Cell,Section not found,0.937
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.978
Chapter 3 - The Cell,Section not found,0.884
Chapter 1 - Chemicals,Section not found,0.939
Chapter 3 - The Cell,Section not found,0.884
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.990
Chapter 1 - Chemicals,Section not found,0.956
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.996
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.994
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.980
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.918
Chapter 3 - The Cell,Section not found,0.976
Chapter 16 - Endocrine System,Section not found,0.917
Chapter 3 - The Cell,3.2 The Cell,0.993
Chapter 1 - Chemicals,Section not found,0.942
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.991
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.997
Chapter 1 - Chemicals,Section not found,0.985
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.872
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.990
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.955
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.803
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.997
Chapter 1 - Chemicals,Section not found,0.998
Chapter 2 - Classification,Section not found,0.995
Chapter 1 - Chemicals,Section not found,0.985
Chapter 1 - Chemicals,1.7 Carbohydrates (Heads-up),0.981
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.969
Chapter 16 - Endocrine System,Section not found,0.898
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.988
Chapter 16 - Endocrine System,Section not found,0.898
Chapter 3 - The Cell,Section not found,0.963
Chapter 3 - The Cell,Section not found,0.884
Chapter 3 - The Cell,3.2 The Cell,0.976
Chapter 1 - Chemicals,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.948
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.990
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.785
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.997
Chapter 1 - Chemicals,Section not found,0.999
Chapter 1 - Chemicals,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.970
Chapter 1 - Chemicals,Section not found,0.998
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.994
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.998
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.972
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.982
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.990
Chapter 1 - Chemicals,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.953
Chapter 1 - Chemicals,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.990
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,1.8 Fats (Heads-up),0.982
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.978
Chapter 1 - Chemicals,Section not found,0.988
Chapter 3 - The Cell,Section not found,0.945
Chapter 1 - Chemicals,1.8 Fats (Heads-up),0.901
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.996
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,1.6 Organic and Inorganic Compounds (Heads-up),0.999
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.987
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.997
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.999
Chapter 1 - Chemicals,1.x Organic Molecules Overview,0.972
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.974
Chapter 10 - Lymphatic System,Section not found,0.996
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.995
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.530
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.828
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.984
Chapter 3 - The Cell,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.915
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.884
Chapter 3 - The Cell,Section not found,0.970
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.828
Chapter 1 - Chemicals,Section not found,0.964
Chapter 3 - The Cell,Section not found,0.920
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.530
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.993
Chapter 1 - Chemicals,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.991
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.959
Chapter 1 - Chemicals,Section not found,0.716
Chapter 3 - The Cell,Section not found,0.951
Chapter 1 - Chemicals,Section not found,0.998
Chapter 16 - Endocrine System,Section not found,0.965
Chapter 10 - Lymphatic System,Section not found,0.965
Chapter 1 - Chemicals,Section not found,0.976
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.996
Chapter 3 - The Cell,Section not found,0.909
Chapter 1 - Chemicals,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.990
Chapter 16 - Endocrine System,Section not found,0.978
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.974
Chapter 1 - Chemicals,Section not found,0.974
Chapter 1 - Chemicals,Section not found,0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.811
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.511
Chapter 3 - The Cell,Section not found,0.934
Chapter 3 - The Cell,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.956
Chapter 3 - The Cell,Section not found,0.949
Chapter 16 - Endocrine System,16.3 Endocrine Glands & Hormones (Heads-up),0.894
Chapter 3 - The Cell,Section not found,0.962
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.969
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.982
Chapter 1 - Chemicals,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.979
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.990
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.962
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 1 - Chemicals,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.928
Chapter 3 - The Cell,Section not found,0.939
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.998
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.998
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.964
Chapter 16 - Endocrine System,Section not found,0.863
Chapter 1 - Chemicals,Section not found,0.978
Chapter 3 - The Cell,Section not found,0.977
Chapter 16 - Endocrine System,Section not found,0.995
Chapter 1 - Chemicals,Section not found,0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 1 - Chemicals,Section not found,0.972
Chapter 1 - Chemicals,Section not found,0.972
Chapter 16 - Endocrine System,Section not found,0.877
Chapter 16 - Endocrine System,Section not found,0.863
Chapter 1 - Chemicals,Section not found,0.989
Chapter 1 - Chemicals,Section not found,0.995
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.992
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.989
Chapter 1 - Chemicals,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.934
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.828
Chapter 3 - The Cell,Section not found,0.859
Chapter 3 - The Cell,Section not found,1.000
Chapter not found,Section not found,0.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.974
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.988
Chapter 3 - The Cell,Section not found,0.880
Chapter 3 - The Cell,Section not found,0.986
Chapter 16 - Endocrine System,Section not found,0.828
Chapter 10 - Lymphatic System,Section not found,0.962
Chapter 3 - The Cell,Section not found,0.950
Chapter 3 - The Cell,Section not found,0.909
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.994
Chapter 1 - Chemicals,Section not found,0.981
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.994
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.982
Chapter 3 - The Cell,Section not found,0.962
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.956
Chapter 3 - The Cell,Section not found,0.956
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.999
Chapter 1 - Chemicals,Section not found,0.976
Chapter 3 - The Cell,3.5 The Nucleus,0.811
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.988
