question,optionA,optionB,optionC,optionD,answer
"Prior to an imaging examination using ultrasound, the skin surface is coated with a gel substance known as a “coupling agent”. What is the purpose of the gel?",To reduce the friction between the skin and the ultrasound transducer.,"To eliminate air, which would reflect the ultrasound, from between the skin and transducer.","Since ultrasound travels faster through denser materials, the time delay caused by travelling through air is avoided by using gel.",To avoid an unpleasantly cold sensation that would otherwise be produced by the ultrasound transducer.,B
"Why is radiotherapy using high energy x-rays, an effective way of treating some cancer? Because","if enough energy is deposited in tumor cells, they can be killed.",most of the x-rays pass through the body without harming healthy tissue.,the dose to the skin surface is lower than with low energy x-rays.,high energy x-rays do not kill healthy cells.,A
When can electrical microshock occur? When:,contact between the skin and the 240 V domestic supply results in a current greater than 100 milliamps.,a conductor carrying a current greater than 1 microamp enters the body through the skin.,a conductor carrying a current greater than 100 microamps enters the body through the skin.,a current of 2 to 4 amps passes through the heart forcing it to clamp shut.,C
"The electrical resistance of the body, measured from hand to hand, will be dif- ferent on different occasions. Why is this? Because the resistance of the skin:",Increases as the skin gets drier.,Increases as the skin gets damper.,Decreases as the skin gets drier.,Decreases as the hands are brought closer together.,A
What could be a correct deﬁ nition of macro-electrocution? ‘That phenomenon which results from a prolonged macro-shock produced by:,an electric current ﬂ owing directly to the heart without having to cross the skin.’,"the contact of bare skin to alternating voltages of over 100,000 V .’ 18 Electricity 472",a fatal current in direct contact with unprotected skin.’,switching on a faulty device that was earthed and had a fuse on the active wire.’,C
"Complete the sentence: ‘Deﬁ brillation’ is the process where for a few millisec- onds, a direct current of about:",6 A is applied directly to the heart through a conducting path that bypasses the skin,100 mA is applied to the chest wall through two ‘paddles’,6 A is applied the chest wall through two ‘paddles’,100 mA is applied directly to the heart through a conducting path that bypasses the skin,C
A block of wood (a poor conductor of heat) whose temperature is 15 °C is placed in contact with a block of steel (a good conductor of heat) of the same size but whose temperature is 20 °C. Both are touched with a hand whose skin temperature is 28 °C. Which of the following is true?,The steel block will feel colder than the wood.,The wood block will withdraw more heat from the hand than will the steel block.,Heat will ﬂ ow from the steel block to the wood block.,Heat will ﬂ ow from the steel block to the hand.,A
Which of the following factors contributes LEAST to the human sensation of ‘hot’ or ‘cold’ when an object is touched?,The amount of heat in the object.,The temperature of the object being touched.,The thermal conductivity of the object.,The local skin temperature.,A
What factor does NOT affect the amount of heat lost from the human body by radiation?,The area of skin facing the external environment.,The temperature difference between the skin and the surroundings.,The surface area of the body.,The mass of the body.,D
Why does the evaporation of perspiration from our bodies cool our skin? Because the evaporated water carries with it the,latent heat of vaporisation.,heat lost by radiation. 20 Energy and Heat 500,latent heat of fusion.,heat lost by convection.,A
Which of the following is a biological mechanism of preventing heat loss?,the production and evaporation of sweat,increasing muscular activity,vasoconstriction of superﬁ cial blood vessels,seeking a warm environment,C
"Which of the following statements is correct? As a means of losing heat from the body, evaporation of sweat works:",provided that the surrounding air is not saturated with water vapour.,provided that the surrounding environment is at a lower temperature that the body.,because sweat is at a lower temperature than blood.,because a ﬁ lm of sweat acts as an absorber of infra-red radiation from the surroundings.,A
In what situation will the ability to lose heat by evaporation of sweat be diminished?,When the body is dehydrated.,When the ambient temperature of the surrounding environment is signiﬁ - cantly higher than body temperature.,When the relative humidity of the surrounding air is very low.,When very little bare skin is exposed.,A
Which of the listed factors does NOT affect the amount of heat that the human body loses by radiation?,the temperature difference between the skin and the surroundings,an individual’s behaviour,being wrapped in a “space blanket” with a silver foil lining.,the area of uncovered skin,D
In which situation will the evaporation of sweat from the skin be ineffective as a heat loss method?,the air temperature is greater than human body temperature.,the air temperature is less than human body temperature.,the surrounding air is saturated with water vapor.,the human body is immersed in the water of a swimming pool.,C
Which mechanism of heat loss from the human body is minimised by wearing clothes?,convection of air,radiation to the environment,warming of inhaled air to body temperature before exhaling,evaporation of sweat,A
Evaporation of sweat cools our body because the evaporating water molecules,have a high heat capacity.,transfer kinetic energy away from us.,radiate heat away from us.,remove heat by conduction.,B
What causes the cooling effect that we experience when sweating?,the emission of infra-red radiation,conduction of heat to the surrounding air then convection,dripping off of warm sweat from our skin,evaporating water molecules taking their kinetic energy with them,D
How does the evaporation of sweat work as a heat loss mechanism?,sweat is produced at a lower temperature than skin so cools the body by conduction.,sweat promotes vasodilation which promotes heat loss by infra-red radiation.,"the water molecules with the greatest energy evaporate, leaving the remain- ing ones at a lower temperature.",sweat ﬂ ows across the skin surface so promotes heat loss by convection.,C
What may be said about the amount of energy in the form of infra-red electro- magnetic waves that is radiated from our bodies?,It depends on our body’s temperature.,It would be greater if our layer of subcutaneous fat was thicker.,It may be increased by contact between the body and an object with tem- perature lower than the body’s temperature,It may be increased by exposing more bare skin.,A
"Except for one situation described below, water molecules changing state from liquid to gas are involved in the cooling effect. Which one?",a cold wind blowing against your skin,drying off after a swim.,the evaporation of sweat,the exhalation of breath from the lungs,A
When is radiation an effective form of heat loss from the body?,When we expose a greater amount of bare skin.,When our body temperature is greater than that of our surroundings.,When blood vessels close to the body surface are vasoconstricted.,When our body temperature is less than that of our surroundings.,B
Which choice explains how the evaporation of sweat “cools” our body?,Evaporating water molecules carry with them more than the average amount of kinetic energy which leaves the remaining molecules with a lower aver-age kinetic energy.,The body loses more heat through the infrared radiation emitted by sweat than it gains from the infrared radiation emitted by the surroundings.,Sweat is at a lower temperature than our core body temperature so sweat on our skin cools us by conduction.,The water molecules in sweat are at a higher temperature than our core body temperature so losing sweat leaves us cooler due to the mass of water lost.,A
"A person lightly dressed in shorts, shoes and a shirt is sitting on a cushioned chair in their shady backyard where the air temperature is 12 °C. There is no wind yet they feel uncomfortably cool. What is their major avenue of heat loss?",conduction,evaporation of sweat,radiation,convection,C
"Why will the metal bell of a stethoscope that is at the room’s air temperature, produce the sensation of cold when placed on the patient’s skin?",The skin is at a lower temperature than the bell.,The stethoscope bell is a good conductor of heat.,The stethoscope bell is a poor conductor of heat.,Sweat evaporating from under the bell cools the skin.,B
Why does perspiring cause heat energy to be lost from the body? Because:,"being at a lower temperature than the skin, sweat cools skin by conduction.",evaporating water molecules remove heat in the form of their own kinetic energy.,the presence of sweat on the skin prevents infra-red radiation being absorbed.,sweat on the skin allows heat to be lost to the air by conduction.,B
In which situation will the skin lose heat by conduction to an object that is in contact with it? When the,object is a good conductor of heat.,skin is not covered by clothing.,object is a poor conductor of heat.,object is at a lower temperature than the skin,D
Which explanation of the cooling effect produced by an ice-pack when applied to the skin is the best one?,Cold applied to the skin causes vasodilation thus allowing more blood to pass through the tissue adjacent to the ice pack and be cooled.,"Heat withdrawn from the body is used to provide the ice with the latent heat of vaporisation it requires to melt, until melting is complete, the tempera- ture of the icepack remains constant. 20 Energy and Heat 509",Cold transfers along its temperature gradient – from ice pack to skin – the melting ice & water mixture ensures good contact with the skin.,"Heat withdrawn from the body (at 37 °C) is used to provide the ice (at 0 °C) with the latent heat of fusion it requires to melt, until melting is complete, the temperature of the icepack doesn’t rise appreciably.",D
