question,optionA,optionB,optionC,optionD,answer
Which of the following is NOT part of the plasma membrane of a cell?,phospholipid,glycoprotein,chromatin,cholesterol,C
A major role for mitochondria is to,"synthesise fatty acids, phospholipids & steroids",deliver lipids and proteins to plasma membrane for secretion,synthesise proteins from amino acids,produce ATP (adenosine triphosphate),D
Choose the tissue below that is NOT one of the four primary types of body tissue.,connective tissue,muscular tissue,nervous tissue,osseous tissue,D
What is the purpose of mitochondria?,to store the nucleolus and chromatin,to produce adenosine triphosphate 2 Cells and Tissues 15,to support and shape the cell.,they produce enzymes to break down molecules,B
The plasma membrane of a cell contains molecules that have a hydrophobic end and a hydrophilic end What are they called?,phospholipids,cholesterol,integral proteins,glycoproteins,A
Adipocytes are found in which type of tissue?,muscle tissue,epithelial tissue,nervous tissue,connective tissue,D
What is the role of mitochondria? To:,function in cell division,synthesise proteins,form part of the plasma membrane,"synthesise fatty acids, phospholipids and steroids.",C
Which one of the following cell types is found in epithelial tissue?,mast cells,adipocytes,chondroblasts,melanocytes,D
What is the difference between “loose” connective tissue (CT) and “dense” connective tissue?,Fibres occupy most of the volume in dense CT,"Dense CT includes cartilage, loose CT does not. 2.1 Cells and Tissues 16",Loose CT has a good blood supply while dense CT does not.,Loose CT has no ﬁ bres (and dense CT does).,A
Facilitated diffusion refers to the process of,movement along a concentration gradient assisted by protein carrier molecules.,movement of ions and molecules along a concentration gradient.,transport of molecules and ions against their concentration gradient.,water movement through a semi-permeable membrane,A
"What do ﬁ broblasts, chondroblasts, osteoblasts and haemocytoblasts have in common?",they are all types of white blood cell.,they are all macrophages.,they are all immature cells.,they are all types of epithelial cell.,C
Which is NOT true of connective tissue (CT)?,the cells are closely packed,the tissue contains protein ﬁ bres and ground substance.,"types include loose CT, dense CT and liquid CT.",CT contains white blood cells.,A
Active transport across the plasma membrane may be described by which statement?,active transport requires energy from ATP.,active transport is also known as endocytosis.,active transport moves molecules along their concentration gradient.,active transport is the movement of lipid-soluble molecules through the plasma membrane.,A
Which of the following cell types denotes an immature cell?,macrophages,monocytes,osteoblasts,ribosomes,C
Choose the membrane that is NOT a serous membrane.,pleura,peritoneum,pericardium,lamina propria,D
Which organelle is the site of ATP production?,the nucleus,endoplasmic reticulum,mitochondria,golgi apparatus,C
Which of the following is ONE major function of epithelial cells?,movement,secretion,support of other cell types,transmit electrical signals,B
What are the major types of tissue in the body?,"nervous, muscle, epithelial, connective.","squamous, cuboidal, columnar, transitional.","osteocytes, chondrocytes, leucocytes, adipocytes.","protein, adipose, cartilage, osseous.",A
Which of the following is NOT one of the organelles within a cell?,desmosome,endoplasmic reticulum,mitochondrion,golgi apparatus,A
Which list contains the main body tissue types?,"glandular, connective, osseous, nervous","epithelial, nervous, connective, muscle.","endothelial, connective, muscle, cartilaginous","epithelial, cartilaginous, muscle, glandular",B
The process of “diffusion” through a membrane may be described by which of the following?,the movement of ions and molecules away from regions where they are in high concentration towards regions where they are in lower concentration.,the use of energy from ATP to move ions and small molecules into regions where they are in lower concentration.,the plasma membrane engulfs the substance and moves it through the membrane.,the use of energy from ATP to move water molecules against their concen- tration gradient.,A
The process of “active transport” through a membrane may be described by which of the following?,the movement of ions and small molecules away from regions where they are in high concentration.,the use of energy from ATP to move ions and small molecules into regions where they are in lower concentration.,the plasma membrane engulfs the substance and moves it through the membrane.,the use of energy from ATP to move ions and small molecules against their concentration gradient.,D
Which of the following enables ions such as sodium to cross a plasma membrane?,phospholipid bilayer,peripheral proteins,integral proteins,desmosomes,C
Cell membranes can maintain a difference in electrical charge between the inte- rior of the cell and the extracellular ﬂ uid. What is this charge difference called?,excitability,the membrane potential,the action potential,the sodium-potassium pump,B
The resting membrane potential of a cell is the consequence of which of the following concentrations of ions?,High K + and Cl − outside the cell and high Na + and large anions inside the cell.,High K + and Na + outside the cell and high Cl − and large anions inside the cell.,High Cl − and Na + outside the cell and high K + and large cations inside the cell.,High Ca 2+ and Na + outside the cell and high K + and large cations inside the cell.,C
What is one function of mitochondria? To,produce enzymes to break down molecules,produce molecules of ATP,hold adjacent cells together,allow passage of molecules through the plasma membrane,B
Membrane proteins perform the following functions EXCEPT one. Which One?,form the glycocalyx,act as receptor proteins,form pores to allow the passage of small solutes,behave as enzymes.,A
Facilitated diffusion differs from active transport because facilitated diffusion:,requires energy from ATP,moves molecules from where they are in lower concentration to higher concentration,moves molecules from where they are in higher concentration to lower concentration.,involves ions & molecules that pass through membrane channels.,C
Which of the following is NOT a connective tissue?,blood,mesothelium,fat,tendon,B
Which one of the following terms best describes a phospholipid. It consists of a:,polar head and polar tail,non-polar head and a polar tail,polar head and non-polar tail,non-polar head and a non-polar tail,C
One of the functions of integral proteins in cell membranes is to:,maintain the rigid structure of the cell,support mechanically the phospholipids,interact with the cytoplasm,form channels for transport functions,D
Which one of the following best describes what a cell membrane consists of?,"lipids, proteins, ribosomes","lipids, cholesterol, proteins","cholesterol, proteins, cytoplasm","lipids, proteins, cytoplasm",B
Which one of the following organelles is considered as the “energy producing” centre of the cell?,rough endoplasmic reticulum,Golgi apparatus,mitochondria,ribosomes,C
What is the purpose of the “sodium/potassium pump”,to perform endocytosis.,to move sodium and potassium by facilitated diffusion.,to perform bulk transport through the plasma membrane.,To produce a concentration gradient for sodium ions,D
Which of the following is NOT a type of cell?,ribosome,haemocytoblast,neutrophil,phagocyte,A
What is the name of the mechanism that ensures that there is a higher concen- tration of sodium ions in the extracellular ﬂ uid than in the intracellular ﬂ uid?,Facilitated diffusion,The sodium-potassium pump,Secondary active transport,Osmosis,B
"What is the name given to the type of transport where glucose or an amino acid binds to a receptor protein on the plasma membrane, which then moves the molecule into the cell without the expenditure of energy?",facilitated diffusion,bulk transport,secondary active transport,active transport,A
"What is the name given to the movement of glucose or amino acids from the gut into the cells lining the gut, when they bind to a transport protein that has also bound a sodium ion. The sodium ion is entering the cell along its concentration gradient.",facilitated diffusion,the sodium potassium pump,active transport,secondary active transport,D
Why does the plasma membrane of a cell present a barrier to the movement of electrolytes through it?,There are no channels in the membrane for the passage of electrolytes.,Electrolytes are not soluble in the lipid of the membrane.,Electrolytes are too large to pass through membrane channels.,Membrane proteins electrically repel charged particles.,B
Which of the following statements about “leak channels” in the plasma mem- brane is correct?,Proteins that form these channels bind to solutes to allow them to pass into the cell.,They are passageways formed by proteins to allow water and ions to move passively through the membrane.,They allow small ions and molecules to move between adjacent cells.,They are formed by glycoprotein and proteoglycans to allow hormones to enter cells.,B
What are the primary types of body tissue?,"connective tissue, blood, muscle tissue, nervous tissue, epithelial tissue.","muscle tissue, osseous tissue, epithelial tissue, nervous tissue, blood, con- nective tissue.","nervous tissue, epithelial tissue, muscle tissue, connective tissue","epithelial tissue, connective tissue, adipose tissue, muscle tissue, nervous tissue.",C
Epithelial and connective tissue differ from each other in which of the follow- ing characteristics?,epithelial tissue contains ﬁ bres but connective tissue does not.,connective tissue is avascular but epithelial tissue is well-vascularised.,"cells in epithelial tissue are closely packed, whereas in connective tissue they are not.","connective tissue includes tissue that makes up glands, but epithelial tissue does not occur in glands.",C
Which of the following is a component of the plasma membrane of a cell?,plasma,glycolipid,plasma proteins,cholesterol,D
What term is used to describe the movement of dissolved particles along (or down) their concentration gradient?,endocytosis,active transport,osmosis,diffusion,D
Which of the following molecules cannot pass through the plasma membrane?,water molecules,non-polar molecules,amino acid based hormones,fat-soluble molecules,C
Which of the following is a connective tissue?,pancreas,spinal cord,muscle,blood,D
Which of the following is an epithelial tissue?,adipose tissue,the adrenal gland,the heart,blood,B
What is the major component of the plasma membrane of a cell?,phospholipid,glycolipid,integral protein,cholesterol,A
Which one of the following is NOT a function of membrane proteins?,they form a structure called a glycocalyx,they attach cells to each other,they form passageways to allow solutes to pass through the membrane,they from receptors which can bind messenger molecules,A
Facilitated diffusion through a membrane involves which of the following scenarios?,the diffusion of water through a selectively permeable membrane along its concentration gradient.,the movement of a molecule against its concentration gradient with the expenditure of energy,the plasma membrane surrounding (engulﬁ ng) the molecule & the molecule moving into the cell.,a molecule binding to a receptor which moves the molecule through the membrane without the expenditure of energy,D
The diffusion of water through a membrane is referred to as,secondary active transport,bulk transport,osmosis,endocytosis,C
What is the tissue that covers the body surface and lines internal tubes called?,epithelial tissue,connective tissue,glandular epithelium,muscle tissue,A
Which of the following is true for connective tissue?,"it consists of cells, a basement membrane and intercellular matrix",its cells are closely packed and held together by protein ﬁ bres.,it has a high rate of cell division and no blood supply,"it is made of cells, protein ﬁ bres and ground substance",D
The cell membrane’s resting potential (about −70 mV inside with respect to the outside) is due mainly to which of the following mechanisms?,The sodium potassium pump.,The diffusion of cations and anions through the membrane along their con- centration gradients.,The diffusion of sodium and potassium across the cell membrane.,The presence inside the cell of anions too large to passively cross the cell membrane.,A
The term “chromatin” would be used in reference to which of the following?,genetic substance,cellular energy,membrane support,nuclear membrane,A
"In protein synthesis, where dose translation occur? In the:","cytoplasm between ribosomes, tRNA and mRNA","nucleus between ribosomes, tRNA and mRNA",nucleus between DNA and mRNA,cytoplasm between DNA and mRNA,A
In which phase of mitosis would chromosomes line up at the centre of the spindle:,anaphase,interphase,prophase,metaphase,D
In a cell cycle which phase takes the longest time to complete:,anaphase,interphase,prophase,telophase,B
What is the name of the process of division of a somatic cell’s nucleus into two daughter nuclei?,prophase,cytokinesis,mitosis,meiosis,C
"In a strand of DNA, what is the combination of deoxyribose and phosphate and base known as?",A ribosome,A chromatid 2.2 Cell Cycle (Mitosis and Protein Synthesis) 30,A codon,A nucleotide,D
What happens during anaphase of mitosis?,spindle ﬁ bres pull each chromatid to opposite sides of the cell,the sense and non-sense strands “unzip” along their hydrogen bonds,RNA polymerase forms a complementary strand by reading the sense strand,the cell cytoplasm divides into two cells,A
"The process by which information is read from DNA, encoded and transported outside the nucleus is known as:",translation,transcription,encoding,catalysis,B
"In the ribosome of a cell, the mRNA is read to produce the particular amino acid sequence for the formation of a protein. What is this process called?",Translation,Transcription,Transportation,Transmutation,A
In the nucleus of the cell DNA is used as a template to form mRNA. What is the process called?,Translation,Transcription,Transportation,Transmutation,B
"Some atoms of potassium, K contain 19 protons and 20 neutrons in their nuclei. What is the correct symbol for these atoms?",20 19K,19 20K,39 19K,20 39K,C
Which of the following statements about atoms is FALSE?,They are mostly empty space.,Nearly all their mass is concentrated in the nucleus.,In a neutral atom protons and electrons are equal in number.,The nucleus contains equal numbers of protons and neutrons.,D
Two atoms have the same mass number but different atomic numbers. Which of the following statements concerning these atoms is TRUE?,Each has the same number of neutrons in its nucleus.,They are isotopes.,They are atoms of different elements.,Each has the same number of protons in its nucleus.,C
"Some atoms of iodine, I, contain 53 protons and 78 neutrons in their nuclei. A correct symbol for these atoms would be:",53131I,5378I,78131I,7853I,A
The “extra-cellular” fluid compartment of the body includes which of the following?,"interstitial, trans-cellular and connective tissue fluids","vascular, connective tissue and interstitial fluids",intra-cellular and transcellular fluid,vascular and connective tissue fluid,B
Extracellular fluid includes which of the following liquids?,blood plasma,blood plasma and interstitial fluid,blood plasma and interstitial fluid and connective tissue fluid,blood plasma and interstitial fluid and connective tissue fluid and liquid inside cells,C
The extracellular fluid compartment consists of which of the following?,vascular and transcellular,"interstitial, vascular and connective tissue fluid",intra-cellular and transcellular,"trans-cellular, intra-cellular and connective tissue fluid",B
"Consider two aqueous solutions of different concentration separated by a semi- permeable membrane. In this situation, osmosis results in:",water molecules moving to the side where the solution concentration is lower.,the more concentrated solution becoming even more concentrated.,the more dilute solution becoming even more dilute.,the more concentrated solution becoming more dilute.,D
Osmosis may be defined as which of the following?,The diffusion of water molecules across a semi-permeable membrane from the solution with higher water concentration into the solution of lower water concentration.,The movement of water molecules across a semi-permeable membrane from the solution of higher concentration into the solution of lower concentration.,The diffusion of solute particles across a semi-permeable membrane from the solution of higher concentration into the solution of lower concentration.,The movement of water molecules across a semi-permeable membrane from the solution of lower concentration into the solution of higher concentration.,D
What is the movement of water molecules across a plasma membrane from the side where the solution concentration is more dilute to the side where the solu-tion is more concentrated called?,osmosis,reverse osmosis,diffusion,hydration,A
"The movement of water molecules through a plasma membrane from the side where there is a higher concentration water molecules to the side where there are fewer, is best known as:",diffusion,osmosis,pinocytosis,hydrolysis,B
"The diffusion of water molecules across a cell membrane from the side where the solution concentration is more dilute to the side where it is greater, is known as which of the following?",osmosis,filtration,hydrolysis,buffer action,A
"If a semi-permeable membrane separates two aqueous solutions with different osmotic pressures, what will be the direction of water flow between solutions? From:",higher osmotic pressure to the solution of lower osmotic pressure.,lower osmotic pressure to the solution of higher osmotic pressure.,higher concentration to the solution of lower concentration.,higher hydrostatic pressure to the solution of lower hydrostatic pressure.,B
The difference between dialysis and diffusion is that,dialysis involves the movement of water molecules.,diffusion involves movement against the concentration gradient.,dialysis involves passive movement through a cell membrane.,diffusion is caused by a hydrostatic pressure difference.,C
What does “osmosis” refer to?,the constant random motion of ions and molecules.,the movement of ions and molecules from regions of high concentration to regions of low concentration.,the movement of water molecules through a semi-permeable membrane. 4 Chemistry for Physiology 65,the movement of water molecules through a semi-permeable membrane from the side with higher water concentration to the side with lower water concentration.,D
What is the difference between filtration and diffusion?,Diffusion can occur through a biological membrane whereas filtration cannot.,Filtration can occur through a biological membrane whereas diffusion cannot.,Filtration is the movement of molecules caused by a pressure difference but diffusion does not involve a difference in pressure.,Diffusion is the movement of molecules caused by a pressure difference but filtration does not involve a difference in pressure.,C
What is the difference between osmosis and dialysis?,Dialysis involves the movement of solute molecules whereas osmosis refers to water molecules.,Osmosis involves the movement of solute molecules whereas dialysis refers to water molecules.,Osmosis involves movement of molecules across a membrane but dialysis does not involve a membrane.,Dialysis involves movement of molecules across a membrane but osmosis does not involve a membrane.,A
Which one of the following processes that describe movement of the particles in a solution does NOT require passing through a membrane?,diffusion,filtration,dialysis,osmosis,A
Diffusion is the term given to the process where:,molecules move along their concentration gradient from high concentration to low concentration.,water moves along its concentration gradient from low concentration to high concentration.,ATP is used to move ions along their concentration gradient.,"a membrane protein, by changing shape after binding to a molecule, moves the molecule across the plasma membrane.",A
"By what name is the movement of solute particles through a selectively perme-able membrane, in the direction of their concentration gradient known?",diffusion,dialysis,osmosis,filtration,B
Which is the best description for the osmotic pressure of a solution?,"A: the pressure that needs to be applied to the solution while it is separated from pure water by a membrane, to prevent a net flow of water through the membrane into the solution.",B: the force with which pure water moves through a membrane into that solution as a result of its solute concentration.,"C: the movement of particles through a membrane, where the movement is caused by a hydrostatic pressure.",D: it is the force of attraction for water by undissolved particles in the solution.,A
"If a red blood cell (rbc) is placed in a solution that has a greater concentration than that inside the rbc, what will happen?",the rbc will crenate,the rbc will haemolyse,there will be a net movement of water out of the rbc into the solution,there will be no net movement of water out of the rbc,C
One of the following is an example of osmosis. Which one?,water moving from the glomerulus of a nephron into the Bowman’s capsule,"water leaving a blood capillary from close to its arteriole end, to enter the interstitial fluid","water entering a red blood cell that is in a 0.8% sodium chloride solution, by passing through its plasma membrane",water evaporating from perspiration on the skin,C
"The Na+/K+ ATPase pump in the plasma membrane moves Na out of the cell and K into the cell against their concentration gradient. Then Na reenters the cell and K leaks out of the cell, along their concentration gradients through their membrane channels. What is the movement of Na and K along their concentra-tion gradients called? 4 Chemistry for Physiology 69",Active transport,Diffusion,Facilitated diffusion,Osmosis,B
Which of the following statements is FALSE?,"Filtration is movement of water caused by a difference in hydrostatic pres- sure, while diffusion results from a difference in concentration.",Both diffusion and filtration will tend to continue till there is an equal amount on both sides of the membrane.,Any hypertonic solution has a concentration lower than that of blood while a hypotonic solution has a concentration greater than the blood.,"Water moves into a red blood cell resulting in haemolysis, and out of a cell by a process called plasmolysis.",C
A hypertonic solution is one which,has an osmotic pressure that is different to that inside red blood cells,has an osmolarity less than that of red blood cells,causes no net movement of water through the membrane of red blood cells,has an osmolarity greater than that of red blood cells,D
Given the concentration of Na+ inside the cell is about 10 mmol/L while it is 140 mmol/L in the extracellular fluid. The values for K+ are 140 mmol/L inside the cell and 4 mmol/L extracellularly. In what directions would these ions diffuse?,Na+ would diffuse into the cell while K+ would diffuse out.,K+ would diffuse into the cell while Na + would diffuse out.,Both Na+ and K+ would diffuse out of the cell.,Both Na+ and K+ would diffuse into of the cell.,A
Which of the following carbohydrates are able to pass through the plasma membrane?,disaccharides,sucrose,glycogen,monosaccharides,D
Which cell type produces a pigment that affords the skin some protection against ultraviolet radiation?,keratinocytes,melanocytes,dendrocytes,merkel cells,B
Which of the following is NOT a cell?,macrophage,chondroblast,lysosome,melanocyte,C
The “stratum corneum” is part of the skin that:,"contains the youngest, rapidly-dividing cells.",anchors the skin to muscle while allowing it to slide over muscle.,"contains collagen, elastin and reticular ﬁ bres.","protects the body against heat, chemicals and bacteria.",D
Which one of the following cell types is responsible for forming the skin’s abil- ity to tan on exposure to sunlight?,melanocytes.,keratinocytes.,dendrocytes.,lymphocytes.,A
Which one of the following cell types is responsible for forming the skin’s stratum corneum?,melanocytes.,keratinocytes.,dendrocytes.,lymphocytes.,B
What is one difference between the dermis and the epidermis? The,epidermis is composed of ﬁ brous connective tissue while the dermis is com- posed of epithelial cells.,dermis is the most exterior layer.,dermis is not part of the skin while the epidermis is.,dermis is vascularised while the epidermis is not.,D
One of the following statements about the stratum corneum is correct. Which one?,cells in this layer undergo cell division to replace the skin.,it consists of dead cells.,"it contains collagen, elastin and reticular ﬁ bres.","the layer has sensory receptors known as Merkel discs, Meissner’s and Pacinian corpuscles.",B
Which of the list below is a cell that reabsorbs bone?,osteon,osteoblast,osteocyte,osteoclast,D
Synovial joints have all of the following features EXCEPT one. Which one?,are surrounded by an articular capsule.,have synovial ﬂ uid ﬁ lling the space between articulating bones.,have synovial membrane covering the articulating bone surfaces.,are supported by reinforcing ligaments.,C
Haemopoiesis refers to,blood cell formation in bone marrow,the process of blood clotting,the crenation of red blood cells in a hypotonic solution,an excessively large proportion of red blood cells to plasma.,A
Synovial joints differ from the other types of joint between bones in the body because:,they are immovable joints.,they are slightly moveable,the bones are joined by cartilage.,the ends of the articulating bones are covered by hyaline cartilage.,D
What is the structure that attaches one bone to another?,ligament,cartilage,tendon,diaphysis,A
Which of the following describes what an “epiphysis” is?,The shaft of a long bone.,The line that separates the shaft from the end of a long bone.,The membrane that surrounds a bone.,The end of a long bone.,D
To what does the term “osteon” refer in bone?,the bone cells (osteocytes) in lacunae.,a small rounded projection on a bone.,concentric cylinders of calciﬁ ed bone matrix.,the membrane covering the outside of a bone.,C
What is the role of hyaline cartilage in the body?,it attaches muscle to bone.,it reinforces joints by tying one bone to another.,it covers articulating bone surfaces.,it produces synovial ﬂ uid.,C
The functions of bones may be stated as:,"fat storage, movement, mineral storage, protection, blood cell formation.","mineral storage, haemopoiesis, movement, leverage, protection.","blood cell formation, hormone production, movement, support, protection.","support, storage, movement, haemopoiesis, protection",D
What is true of synovial joints? They:,are also known as amphiarthroses,all have an articular disc to aid shock absorption.,have a ﬂ uid-ﬁ lled space between the articulating bones.,have articulating bones held together by cartilage.,C
What is the term “osteon” used for?,a bone cell,an Haversian system in compact bone,the bony structure in spongy bone,the space in a bone where a bone cell lives.,B
Where does blood cell formation occur? In the,blood,endosteum,Haversian canal,red marrow,D
By what name is the plasma membrane of a muscle cell known?,sarcoplasm,sarcomere,sarcoplasmic reticulum,sarcolemma,D
"Of the events that lead to myoﬁ laments sliding over each other, which of the following happens ﬁ rst?",The myosin head engages with the binding site on actin,Troponin changes shape and pulls on tropomyosin,Calcium ions enter the cell cytoplasm,ATP is hydrolysed to ADP and inorganic phosphate,C
Smooth muscle is different from skeletal muscle because smooth muscle,is found in the walls of arteries,can be voluntarily contracted,has many nuclei in a cell,has intercalated discs between cells,A
All of the following structures are part of a muscle cell except one. Which one?,sarcoma,sarcolemma 8 Muscles 145,sarcoplasm,sarcoplasmic reticulum,A
"During muscle cell contraction, what happens because of Ca ++ binding to troponin?",The binding site on actin is uncovered.,Acetylcholine (ACh) is released.,The cross-bridge disengages from the thin ﬁ lament.,ATP hydrolyses to ADP.,A
Which of the following muscle cell structures is the longest?,A myoﬁ lament,A myoﬁ bril,A sarcomere,A troponin molecule,B
Which of the events below is the FIRST to occur prior to a muscle cell contracting?,ATP binds to myosin.,ADP detaches from myosin.,the active site on actin is exposed.,Ca ++ is released from the sarcoplasmic reticulum.,D
What is a “sarcomere”?,a cancer of connective tissue,the cytoplasm of a muscle cell,a section of a myoﬁ lament.,the plasma membrane of a muscle cell.,C
What characteristic of a smooth muscle cell distinguishes it from cardiac and from skeletal muscle?,being branched,being under involuntary control,lack of striations,being uninucleate,C
What is the source of the majority of the energy needed by muscles for physical activity that continues for longer than 30 or 40 minutes?,ATP stored in muscle ﬁ bres.,glycolysis of glucose in the cell cytoplasm,ATP produced from creatine phosphate stored in muscle ﬁ bres,aerobic respiration of pyruvic acid in mitochondria 8 Muscles 149,D
A feature of skeletal muscle that is NOT shared with cardiac or smooth muscle is:,striations,branched cells,intercalated discs,many nuclei,D
What is the role of acetylcholine in muscle cell contraction?,it is a neurotransmitter,it binds to troponin causing it to change shape,it supplies the energy for contraction,it engages with the binding site on actin,A
What is a sarcomere?,it is the plasma membrane of a muscle cell,it is the cytoplasm of a muscle cell,it is a section of myoﬁ bril,it is a bundle of thick and thin myoﬁ laments,C
What is the cytoplasm of a skeletal muscle cell called?,sarcolemma,sarcomere,sarcoplasm,fasciculus,C
What is the protein of thick myoﬁ laments in a skeletal muscle cell?,tropomyosin,myosin,actin,acetylcholine,B
A skeletal muscle ﬁ bre (cell) consists of many sections (units) which contract. What is the name given to one of the units that contract?,sarcomere,sarcolemma,sarcoplasm,fasciculus,A
The neurotransmitter that causes an action potential to occur in a muscle cell membrane is called:,inorganic phosphate (HPO 4 2− ),adenosine diphosphate (ADP),calcium (Ca ++ ),acetylcholine (ACh),D
Which of these events is necessary for the contraction of a muscle cell?,the shortening of myoﬁ laments.,the conversion of ADP & HPO 4 2− to ATP in the cross-bridge.,Ca 2+ binding to troponin causing it to change shape.,the movement of ACh from the sarcolemma to the axon terminal.,C
The space between the ribs is ﬁ lled with:,intercostal muscle,costal cartilage 8 Muscles 156,intercostal space,pleura,A
Which of these events is necessary for the contraction of a muscle cell?,the shortening of myosin molecules.,the hydrolysis of ATP to ADP & HPO 4 2− in the myosin cross-bridge.,Ca 2+ binding to tropomyosin causing it to change shape.,the movement of Ca 2+ from the sarcoplasm into the sarcoplasmic reticulum.,B
Select the one INCORRECT statement about skeletal muscles,An “agonist” opposes or reverses a particular movement,A muscle’s attachment point to a stationary bone is called its “origin”. 8 Muscles 157,A skeletal muscle cell is a “syncytium”.,Muscles that immobilise a bone are called “ﬁ xators”.,A
The part of a skeletal muscle cell that is able to contract is called,sarcoplasm,sarcolemma,sarcomere,sarcoplasmic reticulum,C
